ID,area_calc,elev_mean,elev_med,elev_std,elev_ran,slope_mean,mvert_dist,mvert_ang,elon_ratio,strm_dens,p_mean,et0_mean,eta_mean,arid_1,arid_2,p_season,frac_snow,hi_prec_fr,hi_prec_du,hi_prec_ti,lo_prec_fr,lo_prec_du,lo_prec_ti,lc_dom,agr_fra,bare_fra,forest_fra,glac_fra,lake_fra,urban_fra,lai_max,lai_diff,ndvi_max,ndvi_min,gvf_max,gvf_diff,bedrk_dep,root_dep,soil_poros,soil_condu,soil_tawc,sand_fra,silt_fra,clay_fra,grav_fra,oc_fra,gc_dom,gc_ig_fra,gc_mt_fra,gc_pa_fra,gc_pb_fra,gc_pi_fra,gc_py_fra,gc_sc_fra,gc_sm_fra,gc_ss_fra,gc_su_fra,gc_va_fra,gc_vb_fra,gc_wb_fra,geol_perme,geol_poros,govnr,name,river,area_gov,elev,lon,lat,country,fedstate,region,obsbeg_day,obsbeg_hr,obsend,gaps_pre,gaps_post,area_ratio,nrs_euhyd,nrs_rivat,typimpact,diur_art,diur_glac,degimpact,h1989_q_mean,h1989_runoff_ratio,h1989_stream_elas,h1989_slope_fdc,h1989_baseflow_index_ladson,h1989_baseflow_index_lfstat,h1989_hfd_mean,h1989_Q5,h1989_Q95,h1989_high_q_freq,h1989_high_q_dur,h1989_low_q_freq,h1989_low_q_dur,h1989_zero_q_freq,h1981_q_mean,h1981_runoff_ratio,h1981_stream_elas,h1981_slope_fdc,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_hfd_mean,h1981_Q5,h1981_Q95,h1981_high_q_freq,h1981_high_q_dur,h1981_low_q_freq,h1981_low_q_dur,h1981_zero_q_freq,wb_P,wb_PCRPS,wb_PERA5,wb_PMSW,wb_PET,wb_ET0,wb_ETA,wb_Q1,wb_Q2,transfer_count,has_transfer,is_impacted,valid_runoff_days
3,536.299,1844,1916,511,2632,369,38.7,325,0.675,0.64,4.71,2.15,0.88,0.46,0.6,0.27,0.44,9.8,1.23,jja,162.1,2.86,djf,321,0.039,0.222,0.26,0.01,0.006,0.034,2.47,2.41,0.62,0.0,0.81,0.97,0.59,0.53,0.45,0.041,0.08,0.514,0.311,0.175,0.125,0.014,mt,0.001,0.847,0.0,0.0,0.0,0.0,0.132,0.02,0.0,0.001,0.0,0.0,0.0,-12.7,0.02,231662,Loruens-Aeule,Ill,535.2,579,4309441,2668819,AUT,VBG,Rhine,1985,1985,0,0.0,0.0,1.002,RL26006800,20451771.0,"A,I",1,0,s,0.87,0.184,1.835,0.968,0.717,0.714,229.3,0.415,2.52,4.9,2.513,0.0,0.0,0.0,0.899,0.191,2.499,1.001,0.699,0.69,234.656,0.406,2.693,6.156,2.855,0.0,0.0,0.0,4.71,3.78,4.72,4.06,5.08,2.15,0.88,0.87,0.9,0,0,1,12053
7,1143.768,1662,1718,541,2730,372,52.6,318,0.725,0.67,4.9,2.21,1.03,0.45,0.59,0.28,0.39,9.4,1.23,jja,161.15,2.9,djf,321,0.058,0.198,0.327,0.006,0.005,0.039,2.75,2.67,0.65,0.03,0.83,0.95,0.68,0.5,0.46,0.037,0.08,0.444,0.366,0.191,0.139,0.016,mt,0.001,0.48,0.0,0.0,0.0,0.0,0.407,0.111,0.0,0.0,0.0,0.0,0.001,-12.2,0.051,231688,Beschling,Ill,1118.6,485,4296647,2676356,AUT,VBG,Rhine,1985,1985,0,0.0,0.0,1.022,RL26007117,20449191.0,"A,E,I",1,0,s,2.054,0.419,1.809,1.615,0.734,0.657,231.75,0.731,4.73,0.55,1.833,1.0,2.5,0.0,2.042,0.418,1.978,1.665,0.727,0.653,234.375,0.69,4.889,0.469,1.667,0.594,2.375,0.0,4.9,4.15,4.89,4.29,5.05,2.21,1.03,2.05,2.04,0,0,1,12053
14,52.973,1149,1163,257,1440,308,10.1,1,0.816,1.03,4.84,2.35,1.55,0.49,0.57,0.31,0.18,10.7,1.14,jja,173.45,3.07,djf,313,0.029,0.032,0.754,0.0,0.0,0.018,4.4,4.14,0.79,0.18,0.88,0.77,0.76,0.46,0.49,0.028,0.09,0.311,0.521,0.168,0.148,0.023,sc,0.0,0.0,0.0,0.0,0.0,0.0,0.897,0.103,0.0,0.0,0.0,0.0,0.0,-11.8,0.073,200204,Enz,Dornbirnerach,51.1,467,4302992,2698201,AUT,VBG,Rhine,1981,1976,0,0.0,0.0,1.037,RL26007893,20443864.0,A,0,0,s,4.419,0.912,1.165,2.92,0.395,0.283,213.2,0.434,15.538,12.5,1.437,75.05,6.731,0.0,4.601,0.944,1.094,2.882,0.402,0.281,216.972,0.455,16.294,13.222,1.38,70.667,6.205,0.0,4.84,4.5,4.42,4.28,4.88,2.35,1.55,4.42,4.6,0,0,1,13514
15,17.6,844,811,189,953,171,7.0,277,0.673,1.08,4.77,2.35,1.6,0.49,0.57,0.29,0.16,10.6,1.15,jja,175.25,3.1,djf,231,0.368,0.0,0.52,0.0,0.0,0.077,4.34,4.15,0.8,0.16,0.93,0.84,0.97,0.68,0.47,0.026,0.11,0.43,0.374,0.196,0.145,0.011,sm,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0,-13.1,0.183,200428,Schwarzach,Schwarzach,17.7,425,4302807,2703793,AUT,VBG,Rhine,1982,1982,0,0.0,0.0,0.994,RL26008069,20442466.0,-,0,0,l,3.458,0.725,1.343,2.703,0.407,0.297,199.75,0.378,12.294,12.55,1.494,62.55,5.986,0.0,3.672,0.768,1.066,2.662,0.418,0.311,205.714,0.393,13.042,11.343,1.388,60.627,6.241,0.0,4.77,4.37,4.5,4.67,4.19,2.35,1.6,3.46,3.67,0,0,0,13149
45,2157.353,2321,2367,431,3015,368,89.1,41,0.589,0.66,3.44,1.95,0.75,0.57,0.74,0.3,0.48,11.0,1.15,son,170.8,2.98,djf,332,0.05,0.461,0.165,0.027,0.006,0.009,1.44,1.42,0.46,-0.04,0.61,0.82,0.61,0.82,0.43,0.062,0.1,0.661,0.214,0.125,0.111,0.01,mt,0.019,0.355,0.066,0.022,0.0,0.0,0.336,0.021,0.012,0.156,0.002,0.007,0.004,-12.0,0.068,201178,Kajetansbruecke,Inn,2162.0,967,4359982,2648854,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,0.998,RL35044321,20456418.0,"A,E",1,0,s,2.314,0.672,1.484,1.825,0.662,0.505,249.7,0.371,6.136,0.05,1.0,31.95,1.925,0.0,2.342,0.675,1.476,1.858,0.669,0.518,251.111,0.403,6.189,0.056,1.0,26.917,1.791,0.0,3.44,2.57,4.01,2.8,3.54,1.95,0.75,2.31,2.34,0,0,1,13514
49,98.219,2362,2407,370,1758,379,14.1,13,0.791,0.44,4.13,1.9,0.71,0.46,0.57,0.29,0.52,9.75,1.22,jja,166.9,2.89,djf,321,0.03,0.491,0.008,0.054,0.0,0.006,1.26,1.26,0.41,-0.07,0.57,0.82,0.57,0.54,0.43,0.03,0.08,0.569,0.271,0.16,0.124,0.013,mt,0.005,0.964,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.003,0.0,0.0,0.0,-13.3,0.012,201210,Galtuer-Au,Trisanna,97.6,1544,4336120,2651021,AUT,TYR,Inn above Salzach,1981,1977,0,0.0,0.0,1.006,RL35044608,20455510.0,E,1,0,s,1.256,0.304,1.626,2.893,0.619,0.636,250.8,0.212,4.166,6.65,2.714,40.95,14.891,0.0,1.265,0.306,2.285,2.986,0.626,0.646,250.417,0.205,4.24,6.972,2.953,40.361,16.701,0.0,4.13,3.02,4.75,3.74,2.86,1.9,0.71,1.26,1.27,0,0,1,13514
50,385.249,2232,2300,418,2282,378,36.3,43,0.61,0.62,4.25,1.94,0.73,0.46,0.6,0.29,0.5,9.25,1.23,jja,165.25,2.89,djf,321,0.034,0.396,0.143,0.016,0.0,0.015,1.69,1.66,0.51,-0.04,0.68,0.9,0.57,0.55,0.43,0.036,0.08,0.603,0.252,0.144,0.114,0.014,mt,0.004,0.884,0.0,0.0,0.0,0.0,0.102,0.008,0.0,0.001,0.0,0.0,0.0,-12.8,0.017,201236,See i. P.,Trisanna,385.4,1017,4356900,2664090,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.0,RL35046037,20452476.0,E,0,0,s,1.993,0.469,1.214,2.546,0.706,0.748,249.5,0.475,5.921,1.3,1.857,3.05,4.357,0.0,1.99,0.467,1.434,2.759,0.703,0.748,252.111,0.435,5.983,1.194,1.792,9.056,6.392,0.0,4.25,3.12,4.95,3.57,4.64,1.94,0.73,1.99,1.99,0,0,1,13514
54,172.79,2545,2612,468,2397,417,21.2,9,0.7,0.64,3.66,1.79,0.71,0.49,0.57,0.36,0.51,9.45,1.12,jja,166.65,2.89,djf,332,0.026,0.522,0.066,0.158,0.002,0.004,0.9,0.89,0.3,-0.06,0.37,0.59,0.47,0.47,0.41,0.031,0.07,0.688,0.204,0.108,0.135,0.013,mt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.1,0.01,201335,St. Leonhard im Pitztal,Pitze,165.4,1339,4385113,2662164,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.045,RL35045760,20454249.0,E,0,1,s,1.429,0.39,0.699,4.114,0.705,0.756,267.2,0.231,4.138,1.55,1.824,64.6,17.459,0.0,1.43,0.387,0.834,4.086,0.703,0.757,268.639,0.22,4.142,1.556,1.647,67.5,20.948,0.0,3.66,2.98,3.89,3.11,3.58,1.79,0.71,1.43,1.43,0,0,1,13514
64,5284.983,2180,2265,576,3366,377,146.5,43,0.56,0.66,3.88,1.98,0.78,0.51,0.68,0.34,0.46,8.6,1.16,jja,158.45,2.87,djf,312,0.055,0.399,0.223,0.04,0.003,0.016,1.67,1.62,0.49,-0.01,0.62,0.78,0.59,0.64,0.43,0.062,0.09,0.599,0.257,0.144,0.118,0.012,mt,0.008,0.622,0.027,0.009,0.0,0.0,0.248,0.011,0.005,0.064,0.001,0.003,0.002,-12.2,0.04,230078,Telfs (Fussgaengersteg),Inn,5289.7,616,4402199,2688151,AUT,TYR,Inn above Salzach,1986,1986,0,0.0,0.0,0.999,RL35049660,20446333.0,"A,E,I",1,0,s,2.549,0.657,1.245,2.197,0.754,0.707,254.35,0.74,6.385,0.05,1.0,0.8,1.143,0.0,2.56,0.658,1.269,2.22,0.755,0.717,255.065,0.752,6.295,0.032,1.0,0.677,1.105,0.0,3.88,3.06,4.28,3.0,4.21,1.98,0.78,2.55,2.56,0,0,1,11688
75,74.252,1876,1971,474,2286,331,17.7,347,0.55,0.74,4.49,2.07,0.94,0.46,0.62,0.42,0.34,9.6,1.13,jja,159.35,2.8,djf,321,0.083,0.172,0.364,0.0,0.0,0.023,2.95,2.84,0.67,0.06,0.85,0.92,0.71,0.55,0.45,0.048,0.09,0.517,0.317,0.166,0.114,0.015,mt,0.0,0.835,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.021,0.0,-12.6,0.019,201657,Wattens,Wattenbach,73.9,551,4441387,2688232,AUT,TYR,Inn above Salzach,1981,1976,0,0.0,0.0,1.005,RL35049740,20448969.0,-,0,0,l,2.755,0.614,0.892,1.774,0.787,0.852,242.45,1.008,6.824,0.0,0.0,0.0,0.0,0.0,2.748,0.609,0.97,1.809,0.785,0.856,244.361,0.979,6.774,0.028,1.0,0.0,0.0,0.0,4.49,3.55,4.68,3.72,7.3,2.07,0.94,2.76,2.75,0,0,0,13514
