event_id,split,ID,event_start,event_end,first_high_date,last_high_date,peak_date,season,water_year,month,duration_days,high_flow_days,threshold_q95,peak_q,event_volume_q,p3,p7,p30,event_precip,temp7,temp30,swe_before,swe_mean7,swe_delta_7,soil_wetness,soil_wetness_30,frac_snow,aridity,p_season,area_calc,event_type,climate_sensitivity,heavy_rain_flag,rain_concentrated_flag,snowpack_flag,melt_flag,wet_antecedent_flag
test_3_0001,test,3,2014-03-29,2014-04-02,2014-03-31,2014-03-31,2014-03-31,MAM,2014,3,5,1,2.3636340807174827,3.065811659192825,5.173668161434977,0.0,1.300000000000007,85.94,0.08,-1.1428571428571448,-0.8900000000000002,455.8,457.85714285714283,1.7199999999999704,0.39,0.39,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_3_0002,test,3,2014-04-02,2014-04-06,2014-04-04,2014-04-04,2014-04-04,MAM,2014,4,5,1,2.3636340807174827,2.6744932735426006,5.529470852017937,0.9200000000000214,0.9900000000000071,68.53,13.049999999999999,2.228571428571427,0.013333333333333093,458.29,454.27285714285716,-12.310000000000002,0.39285714285714285,0.39066666666666666,0.44,0.46,0.27,536.299,snowmelt,warming_snow_transition,False,True,True,True,False
test_3_0003,test,3,2014-07-29,2014-08-02,2014-07-31,2014-07-31,2014-07-31,JJA,2014,7,5,1,2.3636340807174827,2.741811659192825,7.977955156950672,43.92000000000002,89.55000000000001,258.82,53.27,9.157142857142855,9.59,0.0,0.0,0.0,0.4814285714285714,0.468,0.44,0.46,0.27,536.299,long_rain_wet_soil,antecedent_wetness_storage,True,False,False,False,True
test_3_0004,test,3,2014-08-11,2014-08-17,2014-08-13,2014-08-15,2014-08-13,JJA,2014,8,7,3,2.3636340807174827,4.551336322869955,15.851784753363228,54.360000000000014,69.80000000000001,247.2,72.72,10.614285714285712,10.446666666666665,0.0,0.0,0.0,0.45428571428571424,0.4686666666666667,0.44,0.46,0.27,536.299,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
test_3_0005,test,3,2015-06-03,2015-06-14,2015-06-05,2015-06-12,2015-06-11,JJA,2015,6,12,6,2.3636340807174827,3.7586905829596415,29.89000896860986,19.370000000000033,44.850000000000016,231.5,69.07,10.328571428571426,6.226666666666666,142.56,81.18999999999998,-95.71000000000001,0.4585714285714286,0.4686666666666667,0.44,0.46,0.27,536.299,snowmelt,warming_snow_transition,False,False,True,True,True
test_3_0006,test,3,2015-06-20,2015-06-27,2015-06-22,2015-06-25,2015-06-22,JJA,2015,6,8,4,2.3636340807174827,5.66572197309417,24.397829596412556,27.45000000000003,73.46000000000001,216.32,70.74,6.24285714285714,7.723333333333333,12.01,4.75,-8.89,0.46571428571428575,0.464,0.44,0.46,0.27,536.299,rain_on_snow,warming_snow_transition,True,False,True,True,True
test_3_0007,test,3,2015-06-30,2015-07-06,2015-07-02,2015-07-04,2015-07-02,JJA,2015,7,7,3,2.3636340807174827,4.896807174887891,19.09953363228699,0.49000000000003197,24.090000000000014,202.09,4.43,12.428571428571427,9.58,1.19,0.23571428571428574,-1.19,0.4557142857142857,0.461,0.44,0.46,0.27,536.299,storage_release,antecedent_wetness_storage,False,False,True,False,True
test_3_0008,test,3,2015-11-17,2015-11-21,2015-11-19,2015-11-19,2015-11-19,SON,2016,11,5,1,2.3636340807174827,4.435426008968609,9.401650224215246,0.6900000000000319,3.3000000000000176,20.84,44.03,2.542857142857141,2.2933333333333334,2.77,2.16,-1.1400000000000001,0.4542857142857143,0.4653333333333333,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_3_0009,test,3,2016-05-28,2016-06-04,2016-05-30,2016-06-02,2016-05-30,MAM,2016,5,8,2,2.3636340807174827,2.7518206278026898,16.26134529147982,29.900000000000034,39.63000000000002,225.04,76.96000000000001,6.328571428571427,3.4866666666666664,385.61,357.7814285714286,-84.13999999999999,0.4828571428571428,0.4766666666666666,0.44,0.46,0.27,536.299,snowmelt,warming_snow_transition,False,True,True,True,True
test_3_0010,test,3,2016-06-07,2016-06-11,2016-06-09,2016-06-09,2016-06-09,JJA,2016,6,5,1,2.3636340807174827,3.5052376681614352,10.85295067264574,38.66000000000003,68.50000000000003,280.19,52.059999999999995,6.628571428571427,4.54,251.7,180.42000000000002,-120.98999999999998,0.47714285714285715,0.478,0.44,0.46,0.27,536.299,rain_on_snow,warming_snow_transition,True,True,True,True,True
