split,event_type,model,events,basins,median_peak_ratio,median_peak_bias_pct,median_abs_peak_bias_pct,median_volume_ratio,median_volume_bias_pct,median_abs_volume_bias_pct,median_peak_timing_error_days,median_abs_peak_timing_error_days,hit_rate
test,cool_season_rain,random_forest,143,58,0.5029378341754275,-49.70621656578507,50.8817304905691,0.6441540459690146,-35.58459539882748,36.0189369271995,0.0,0.0,27.27272727272727
test,cool_season_rain,transformer,133,56,0.43361438326824653,-56.63856164186373,57.52982479081288,0.28489071125824955,-71.51092886649158,71.51092886649158,0.0,1.0,18.045112781954884
test,cool_season_rain,xgboost,143,58,0.34121014552669177,-65.87898544119491,66.03977041224141,0.508622753804864,-49.137724614363925,49.29490218119862,0.0,0.0,13.286713286713287
test,long_rain_wet_soil,random_forest,461,94,0.6235058875049856,-37.6494112405511,39.28723763310497,0.8058545181537168,-19.41454818017264,23.778496023376558,0.0,0.0,53.14533622559653
test,long_rain_wet_soil,transformer,438,92,0.5493786238670866,-45.06213758585557,45.78621445796753,0.31391449153429624,-68.60855084348887,68.60855084348887,0.0,1.0,38.58447488584475
test,long_rain_wet_soil,xgboost,461,94,0.5444777057684057,-45.55222941282186,47.81095845165203,0.6864696249531613,-31.353037502078443,33.1365668127706,0.0,0.0,36.8763557483731
test,rain_on_snow,random_forest,243,87,0.674350740482895,-32.564925931881994,32.77307603727467,0.8782335265173757,-12.1766473446964,17.518010483431024,0.0,0.0,52.2633744855967
test,rain_on_snow,transformer,236,86,0.6873670403223284,-31.263295861410906,34.350501004893985,0.3860856470878048,-61.391435288690765,61.391435288690765,0.0,1.0,52.118644067796616
test,rain_on_snow,xgboost,243,87,0.579375979805293,-42.06240199843341,42.119160204021924,0.7443977569515791,-25.56022430254137,27.27217516449215,0.0,0.0,32.098765432098766
test,rainfall_runoff,random_forest,137,57,0.3311384040960837,-66.88615952600134,66.88615952600134,0.47688854897456406,-52.31114509247361,52.31114509247361,0.0,1.0,2.9197080291970803
test,rainfall_runoff,transformer,130,55,0.2800419179185165,-71.99580811000504,71.99580811000504,0.1808851989507388,-81.91148010343994,81.91148010343994,0.0,1.0,1.5384615384615385
test,rainfall_runoff,xgboost,137,57,0.2563648148684405,-74.36351850390724,74.36351850390724,0.42159248682679484,-57.84075130542345,57.84075130542345,0.0,1.0,2.9197080291970803
test,snowmelt,random_forest,218,81,0.649309245501629,-35.06907544108688,35.909047788191984,0.8045843881084023,-19.541561187008824,20.448192486909317,0.0,1.0,27.522935779816514
test,snowmelt,transformer,209,80,0.6211569531212046,-37.88430467646342,38.52436961497272,0.31272067100520246,-68.72793289477805,68.72793289477805,0.0,1.0,30.14354066985646
test,snowmelt,xgboost,218,81,0.5524866200125286,-44.751337991839314,46.87063636822759,0.6963867016989852,-30.36132982867916,31.884292283505836,0.0,1.0,16.972477064220186
test,storage_release,random_forest,150,65,0.542767739747277,-45.72322599967319,45.9543367146317,0.7440074583436025,-25.599254162794193,25.599254162794193,0.0,1.0,12.0
test,storage_release,transformer,142,64,0.4655474505092664,-53.445254906439764,53.445254906439764,0.26436092070491857,-73.56390792408166,73.56390792408166,0.0,1.0,11.267605633802818
test,storage_release,xgboost,150,65,0.46948091709136686,-53.05190828025717,53.19343120856621,0.6209292912088273,-37.90707086705035,38.06042482479113,0.0,1.0,9.333333333333334
test,warm_season_short_rain,random_forest,636,96,0.6029271865877107,-39.70728129805698,40.644634901101604,0.7673591554712835,-23.264084450237018,26.487906940778167,0.0,0.0,48.42767295597484
test,warm_season_short_rain,transformer,607,96,0.47630696759937463,-52.36930322883551,52.52507928762971,0.27798080317952245,-72.20191968022453,72.20191968022453,0.0,1.0,30.64250411861614
test,warm_season_short_rain,xgboost,636,96,0.5179496288384893,-48.2050371002575,48.92630632443563,0.6761770858702659,-32.382291409130204,34.4308313969333,0.0,0.0,37.10691823899371
val,cool_season_rain,random_forest,138,58,0.40122525125475617,-59.87747484351915,59.87747484351915,0.6169512273964083,-38.30487725559958,38.43438815604064,0.0,0.0,15.217391304347828
val,cool_season_rain,transformer,133,56,0.37322664031923863,-62.677335963594274,62.677335963594274,0.26476365754699327,-73.5236342279415,73.5236342279415,1.0,1.0,18.045112781954884
val,cool_season_rain,xgboost,138,58,0.3203120931241937,-67.96879067334055,67.96879067334055,0.5144948249965142,-48.55051748922772,48.55051748922772,0.0,0.0,8.695652173913043
val,long_rain_wet_soil,random_forest,482,98,0.602307223673754,-39.769277611514454,41.16950821992576,0.7927506735416329,-20.724932643977382,25.603951845521646,0.0,0.0,50.20746887966805
val,long_rain_wet_soil,transformer,460,98,0.5403426760504157,-45.965732367881174,46.583767361510496,0.2860928728360252,-71.39071271396901,71.39071271396901,0.0,1.0,39.78260869565217
val,long_rain_wet_soil,xgboost,482,98,0.5255919559470327,-47.4408043805183,49.03499519426336,0.6949518428325523,-30.50481571092783,34.131103203115075,0.0,0.0,39.211618257261414
val,rain_on_snow,random_forest,244,86,0.6418953488664099,-35.81046508960712,36.705722491006014,0.8389535695213441,-16.104643046229718,21.600094570759936,0.0,1.0,69.26229508196722
val,rain_on_snow,transformer,235,85,0.7293960927814628,-27.06039071142426,36.1702634353592,0.3623023585510376,-63.7697641422051,64.55417578318546,0.0,1.0,66.38297872340425
val,rain_on_snow,xgboost,244,86,0.5844467412098583,-41.555325869472306,44.397570758723184,0.7346022593807184,-26.539774059699962,31.098761807818143,0.0,0.0,57.786885245901644
val,rainfall_runoff,random_forest,112,50,0.40100633263232044,-59.89936669463724,59.89936669463724,0.5732735460576504,-42.67264538716019,42.67264538716019,0.0,1.0,6.25
val,rainfall_runoff,transformer,107,49,0.3791562570717423,-62.08437410647218,62.08437410647218,0.19827634548199913,-80.17236544669814,80.17236544669814,1.0,1.0,6.5420560747663545
val,rainfall_runoff,xgboost,112,50,0.33999686254372896,-66.00031364395937,66.00031364395937,0.5032326088876966,-49.67673910956723,49.67673910956723,0.0,1.0,5.357142857142857
val,snowmelt,random_forest,356,92,0.6260682582490676,-37.39317415548044,38.80915391083517,0.7866318802645204,-21.336811970782342,24.04668060358977,0.0,1.0,37.07865168539326
val,snowmelt,transformer,350,92,0.6450055803104852,-35.49944194729367,36.44173988620739,0.32321447070955245,-67.67855292796196,67.67855292796196,0.0,1.0,44.857142857142854
val,snowmelt,xgboost,356,92,0.5451208294118468,-45.48791702851343,46.74082896731143,0.6596171675745133,-34.03828324191426,35.811343122025214,0.0,1.0,28.370786516853936
val,storage_release,random_forest,141,64,0.48022899320575113,-51.97710064914039,51.99295482010586,0.6548732514815606,-34.51267482086,35.54283943065702,0.0,1.0,9.219858156028367
val,storage_release,transformer,139,64,0.49728336347288393,-50.27166362750825,52.00047062536113,0.2716590421448782,-72.83409578496004,72.83409578496004,0.0,1.0,10.071942446043165
val,storage_release,xgboost,141,64,0.4703571049388492,-52.964289499415315,55.32844517527798,0.5951712580311962,-40.48287419422403,42.8898395695581,0.0,1.0,14.184397163120568
val,warm_season_short_rain,random_forest,601,97,0.555370713331619,-44.46292861696636,46.343986288412445,0.7619866090032197,-23.801339096161318,29.82881711325746,0.0,0.0,49.58402662229617
val,warm_season_short_rain,transformer,568,97,0.46625588563740084,-53.37441141847279,53.96227164790935,0.2867213326125622,-71.32786673161633,71.32786673161633,0.0,1.0,34.859154929577464
