split,attribute,target,spearman_rho,n
val,bfi,kge_xgb,0.6386166841324867,100
test,bfi,kge_xgb,0.519637789024427,100
train,bfi,pbias_transformer,0.509418337853346,100
val,bfi,pbias_xgb,0.5071200114889747,100
test,area_calc,kge_rf,0.5054905490549054,100
val,frac_snow,kge_rf,0.49622879392532704,100
val,bfi,pbias_rf,0.4873352020285787,100
test,area_calc,kge_xgb,0.4779357935793579,100
test,frac_snow,kge_rf,0.47018358644205005,100
spatial_test,forest_fra,transformer_gain_vs_rf,0.45853143370507904,50
test,frac_snow,kge_xgb,0.4529883421935752,100
spatial_test,forest_fra,tree_advantage,-0.44897469351788694,50
spatial_test,forest_fra,sequence_gain_vs_tree,0.44897469351788694,50
val,bfi,kge_rf,0.4314972729933996,100
train,area_calc,kge_transformer,0.425022502250225,100
spatial_test,bfi,kge_xgb,0.42370589710037576,49
train,aridity,pbias_transformer,0.4066724612174841,100
test,area_calc,kge_transformer,0.40654065406540646,100
val,geol_poros,kge_rf,-0.4044404713857065,100
val,frac_snow,transformer_gain_vs_rf,-0.39377229491441085,100
train,soil_condu,pbias_transformer,0.39373244815980507,100
spatial_test,geol_poros,kge_xgb,-0.3923492274436691,50
val,area_calc,kge_rf,0.39215121512151213,100
val,area_calc,kge_xgb,0.39063906390639064,100
test,aridity,kge_xgb,-0.3882713998688823,100
test,aridity,kge_rf,-0.38094099337405596,100
spatial_test,soil_tawc,tree_advantage,0.37820544012628643,50
spatial_test,soil_tawc,sequence_gain_vs_tree,-0.37820544012628643,50
val,aridity,kge_rf,-0.3780232394375403,100
spatial_test,soil_tawc,transformer_gain_vs_rf,-0.37786667645630767,50
val,bfi,pbias_transformer,0.3764934624037757,100
val,bfi,sequence_gain_vs_tree,-0.3739250976937213,100
val,bfi,tree_advantage,0.3739250976937213,100
spatial_test,area_calc,kge_xgb,0.3682593037214886,50
val,frac_snow,tree_advantage,0.36820172904386256,100
val,frac_snow,sequence_gain_vs_tree,-0.36820172904386256,100
test,area_calc,pbias_xgb,0.36636063606360636,100
val,soil_condu,transformer_gain_vs_rf,0.3657973079954416,100
spatial_test,bfi,kge_rf,0.3626808184717571,49
spatial_test,geol_poros,kge_rf,-0.3572665552200191,50
val,frac_snow,kge_xgb,0.3556808034625133,100
spatial_test,soil_condu,pbias_rf,0.35241571780632164,50
val,soil_condu,tree_advantage,-0.3507825452261102,100
val,soil_condu,sequence_gain_vs_tree,0.3507825452261102,100
test,area_calc,pbias_rf,0.348094809480948,100
val,soil_condu,kge_rf,-0.34508149621297474,100
val,fdc_slope,pbias_xgb,-0.3448375182659333,100
test,soil_condu,kge_rf,-0.34422933941311656,100
val,fdc_slope,pbias_rf,-0.3427132994713879,100
test,bfi,kge_rf,0.3414124808734526,100
test,geol_poros,kge_rf,-0.3407739845861059,100
test,geol_poros,kge_xgb,-0.3398549382156617,100
train,bfi,kge_transformer,0.33458951200585463,100
test,frac_snow,kge_transformer,0.33236929134368637,100
test,aridity,transformer_gain_vs_rf,0.33118308262129514,100
val,geol_poros,kge_transformer,-0.3266519060441812,100
spatial_test,area_calc,kge_rf,0.3264825930372149,50
test,aridity,sequence_gain_vs_tree,0.32617607277962024,100
test,aridity,tree_advantage,-0.32617607277962024,100
spatial_test,soil_condu,pbias_xgb,0.3236960940330618,50
test,soil_condu,kge_xgb,-0.32366355523625867,100
val,bfi,transformer_gain_vs_rf,-0.323181892113767,100
val,aridity,transformer_gain_vs_rf,0.3155556885950601,100
val,fdc_slope,pbias_transformer,-0.31421036366887195,100
train,fdc_slope,pbias_transformer,-0.3113180657621745,100
spatial_test,fdc_slope,kge_rf,-0.3080690834952308,49
val,aridity,tree_advantage,-0.2988596521805539,100
val,aridity,sequence_gain_vs_tree,0.2988596521805539,100
spatial_test,geol_poros,kge_transformer,-0.29757795398471326,50
spatial_test,area_calc,pbias_xgb,0.29594237695078035,50
val,geol_poros,kge_xgb,-0.2928694433815759,100
test,geol_poros,kge_transformer,-0.2905988582310665,100
test,frac_snow,sequence_gain_vs_tree,-0.28870226297264673,100
test,frac_snow,tree_advantage,0.28870226297264673,100
test,frac_snow,transformer_gain_vs_rf,-0.286094738163479,100
spatial_test,fdc_slope,kge_xgb,-0.2816908595523633,49
test,aridity,pbias_transformer,0.279762172196899,100
val,is_impacted,sequence_gain_vs_tree,-0.27944419640760226,100
val,is_impacted,tree_advantage,0.27944419640760226,100
val,aridity,kge_xgb,-0.2793659340079894,100
val,is_impacted,transformer_gain_vs_rf,-0.27667055674102553,100
spatial_test,aridity,kge_transformer,-0.27325137065925326,50
spatial_test,is_impacted,kge_xgb,0.2663093613876402,50
val,area_calc,tree_advantage,0.26505850585058505,100
val,area_calc,sequence_gain_vs_tree,-0.26505850585058505,100
val,area_calc,transformer_gain_vs_rf,-0.2634143414341434,100
train,area_calc,pbias_transformer,0.26259825982598256,100
test,bfi,tree_advantage,0.2582706746636293,100
test,bfi,sequence_gain_vs_tree,-0.2582706746636293,100
val,area_calc,pbias_xgb,0.25219321932193217,100
spatial_test,frac_snow,kge_transformer,0.2518292719118867,50
val,frac_snow,kge_transformer,0.2501301217863404,100
val,area_calc,pbias_rf,0.24782478247824777,100
val,soil_condu,kge_xgb,-0.2442929507649649,100
train,urban_fra,pbias_transformer,0.24385531960333695,100
val,geol_perme,pbias_transformer,0.24158860564122744,100
test,aridity,pbias_xgb,0.240450540969935,100
test,bfi,transformer_gain_vs_rf,-0.24035813106663742,100
test,forest_fra,kge_rf,-0.2380300875889009,100
spatial_test,forest_fra,kge_transformer,0.2367574327781776,50
test,urban_fra,pbias_xgb,0.23306680196762872,100
test,urban_fra,pbias_rf,0.23210021802809117,100
test,aridity,pbias_rf,0.23146313841239605,100
spatial_test,is_impacted,pbias_xgb,0.2302466353663973,50
spatial_test,soil_condu,transformer_gain_vs_rf,-0.22850831089158874,50
train,soil_tawc,pbias_transformer,0.22817336723976114,100
spatial_test,soil_condu,tree_advantage,0.22634713518958757,50
spatial_test,soil_condu,sequence_gain_vs_tree,-0.22634713518958757,50
test,soil_condu,kge_transformer,-0.22529945589488742,100
val,urban_fra,kge_rf,-0.22376118018947194,100
