split,model,zone,zone_value,basins,median_kge,median_nse,median_log_nse,median_pbias
spatial_test,random_forest,snow_class,low_snow,15,0.3984751654875129,0.3114971941016011,0.3442695491526422,5.538085275408893
spatial_test,random_forest,snow_class,mixed_snow,20,0.479382934101192,0.43837741707689054,0.5154925950947522,2.8892786706523887
spatial_test,random_forest,snow_class,snow_influenced,15,0.5235106669123617,0.5046355668806425,0.5497646753506296,3.6980046462374863
spatial_test,transformer,snow_class,low_snow,15,0.4137591264631183,0.1072457589241115,0.1638396280001401,-1.8423689840267452
spatial_test,transformer,snow_class,mixed_snow,20,0.5322088701350114,0.43710711444730965,0.4402347587576818,-3.27180660737649
spatial_test,transformer,snow_class,snow_influenced,15,0.6125091812086074,0.4866492008134059,0.5933426729351297,-17.98041535616733
spatial_test,xgboost,snow_class,low_snow,15,0.2954296067978016,0.2887499924237859,0.2939705765627953,-0.9728436521468956
spatial_test,xgboost,snow_class,mixed_snow,20,0.4057986447321308,0.3994198207621006,0.4581404540485676,0.34562438564933273
spatial_test,xgboost,snow_class,snow_influenced,15,0.4787860995716956,0.4025661342619405,0.515716687527729,1.085977645033241
test,random_forest,snow_class,low_snow,41,0.5390718646406965,0.4463781878328567,0.5499860279205395,6.082915193515524
test,random_forest,snow_class,mixed_snow,24,0.5498011035648258,0.5777905601176322,0.6508291112093744,-3.756551995725114
test,random_forest,snow_class,snow_influenced,35,0.750708683802753,0.6686600432293117,0.73891262962602,2.234182042618688
test,transformer,snow_class,low_snow,41,0.6161314111331426,0.4650707615550825,0.5905241409611347,-2.25474048085448
test,transformer,snow_class,mixed_snow,24,0.6317839197185313,0.6188188741307696,0.7128959015431828,-7.0375514537067225
test,transformer,snow_class,snow_influenced,35,0.774858276350669,0.7236354628068377,0.7751547543204067,-3.5365603476168705
test,xgboost,snow_class,low_snow,41,0.4161089804026218,0.3461706812221266,0.4440906443328831,-2.928605461503349
test,xgboost,snow_class,mixed_snow,24,0.4842573419771445,0.4716091193828425,0.5649546257175797,-9.824716767947677
test,xgboost,snow_class,snow_influenced,35,0.6023840582318953,0.5522925808948191,0.6596801288663344,-4.84643637876585
train,transformer,snow_class,low_snow,41,0.733385854827457,0.6899651689608566,0.7485580448740028,-2.354183228270188
train,transformer,snow_class,mixed_snow,24,0.7264375400671074,0.7402034692493706,0.7698745020687191,-1.380273864690597
train,transformer,snow_class,snow_influenced,35,0.8342072655956755,0.8151730489844917,0.8546598759444488,-3.3711981634865618
val,random_forest,snow_class,low_snow,41,0.4509344826687176,0.4726010953690346,0.6226906964572043,-3.3164791383884205
val,random_forest,snow_class,mixed_snow,24,0.6025264467453545,0.5545816219932718,0.6352520145082134,-2.3545137862672596
val,random_forest,snow_class,snow_influenced,35,0.7240091040620132,0.6498751697094408,0.7386484461335725,-0.8989862179731772
val,transformer,snow_class,low_snow,41,0.630956932863224,0.540183121163341,0.6588877674300135,-3.9285908754240375
val,transformer,snow_class,mixed_snow,24,0.7170260662328178,0.6459687901062674,0.6690578858259076,-0.8006477471647755
val,transformer,snow_class,snow_influenced,35,0.765266455571408,0.7268116195354943,0.7726596240326052,-4.4529998550722105
val,xgboost,snow_class,low_snow,41,0.4137041327203719,0.412731079566682,0.5497916075203466,-8.828161743225035
val,xgboost,snow_class,mixed_snow,24,0.5271180667082982,0.4839032269689737,0.6005972127039082,-10.283952972637032
val,xgboost,snow_class,snow_influenced,35,0.5920987904913805,0.5660540652165021,0.6400989504581172,-5.139082850762914
spatial_test,random_forest,aridity_class,dry,18,0.37064379589044955,0.3237268438935538,0.39293410862965716,2.8892786706523887
spatial_test,random_forest,aridity_class,humid,14,0.45911370076141966,0.4549493869527504,0.5417238894731347,-6.50772751152922
spatial_test,random_forest,aridity_class,moderate_aridity,18,0.5141991933186412,0.4792256642232518,0.5474634408944953,5.0761968284394765
spatial_test,transformer,aridity_class,dry,18,0.4562301061505264,0.2419662475324633,0.2159380568571029,-3.6461651219177282
spatial_test,transformer,aridity_class,humid,14,0.5495881619111159,0.48346861565075855,0.5563763821507818,-2.7434057046944105
spatial_test,transformer,aridity_class,moderate_aridity,18,0.5779626691884545,0.45381156217408364,0.45174979061919807,-6.406212341809019
spatial_test,xgboost,aridity_class,dry,18,0.2768268171643077,0.3412983748685187,0.31410589489097196,-1.036098778454692
spatial_test,xgboost,aridity_class,humid,14,0.44245953550441774,0.3934918325577723,0.4578150324090057,-8.72673230168925
spatial_test,xgboost,aridity_class,moderate_aridity,18,0.4897685883747436,0.44755048754686466,0.48940870097410916,0.9328514892317002
test,random_forest,aridity_class,dry,33,0.5388738745460426,0.4214692282514591,0.5384493151939449,9.594166048495511
test,random_forest,aridity_class,humid,38,0.7088959958086745,0.6638829238156612,0.7387962546571283,0.32139701901203477
test,random_forest,aridity_class,moderate_aridity,29,0.5855759400411227,0.5112266629973052,0.5817311672133467,-2.7970285802976464
test,transformer,aridity_class,dry,33,0.6257916636078985,0.4705352101364405,0.5905241409611347,-1.3424772826208835
test,transformer,aridity_class,humid,38,0.7333995527335608,0.7016016156389446,0.7889110359671879,-7.684822131654162
test,transformer,aridity_class,moderate_aridity,29,0.6377761758291642,0.5611213992944588,0.636113209867847,-4.29433081655738
test,xgboost,aridity_class,dry,33,0.4161089804026218,0.3403514801678667,0.431971197246497,1.9938491322192504
test,xgboost,aridity_class,humid,38,0.5837504208850469,0.5487987286432753,0.6585449648997777,-6.6571711235161475
test,xgboost,aridity_class,moderate_aridity,29,0.4758112355775945,0.4363443793948693,0.492214782438512,-8.002300371627365
train,transformer,aridity_class,dry,33,0.7378770878806113,0.6899651689608566,0.758651643362803,-1.0738787323926011
train,transformer,aridity_class,humid,38,0.7587308038869996,0.8049031574832872,0.8352609077473345,-5.674241555070105
train,transformer,aridity_class,moderate_aridity,29,0.7744925954698944,0.7392656536178823,0.7565246290153851,-1.8094149484180064
val,random_forest,aridity_class,dry,33,0.4468036386294236,0.4405145456153345,0.6119230579513626,-8.172139506754803
val,random_forest,aridity_class,humid,38,0.6723660747580007,0.6394333116656554,0.7222114298289641,-3.5541827007768365
val,random_forest,aridity_class,moderate_aridity,29,0.6178487214829919,0.5680318312200452,0.6277922892165324,3.151899211070366
val,transformer,aridity_class,dry,33,0.630956932863224,0.5391731007675892,0.6479224551843199,-5.361616196763492
val,transformer,aridity_class,humid,38,0.7024580907135906,0.6870331093514593,0.7544399820140172,-6.352178112482836
val,transformer,aridity_class,moderate_aridity,29,0.7267908184076848,0.6177828688590576,0.659867095782634,2.718241870071861
val,xgboost,aridity_class,dry,33,0.3689573213699465,0.3815586403561647,0.5663444880807079,-9.559531482164966
val,xgboost,aridity_class,humid,38,0.5496863062118384,0.5542899015512911,0.6399645092066717,-11.464484522630002
val,xgboost,aridity_class,moderate_aridity,29,0.5592065447015949,0.4837195798891028,0.5538005622129611,-2.898325693879072
spatial_test,random_forest,storage_class,high_storage,14,0.5766380429621042,0.27093733375468315,0.25159736868584404,9.577200002232292
spatial_test,random_forest,storage_class,low_storage,16,0.38995642508871886,0.40300249396851784,0.5384887562158125,-0.20222210234894833
spatial_test,random_forest,storage_class,mixed_storage,19,0.5547543132191367,0.5172421556504337,0.4833136754903433,3.6980046462374863
spatial_test,random_forest,storage_class,unknown,1,-0.0319618200599647,-44.139420895653984,-74.07808222121322,-84.98672365229532
spatial_test,transformer,storage_class,high_storage,14,0.5471735754296116,0.2934764074881848,0.24362127640602127,-5.091780823648728
spatial_test,transformer,storage_class,low_storage,16,0.4975162805518758,0.4719391859855536,0.5449261359682378,0.769293542023718
spatial_test,transformer,storage_class,mixed_storage,19,0.4905990726432807,0.3509052280939183,0.2572579461644162,-14.55573997906426
spatial_test,transformer,storage_class,unknown,1,-0.2454571456036685,-40.128209981401696,-64.25027386407906,-81.86189798090064
spatial_test,xgboost,storage_class,high_storage,14,0.5543398770151067,0.258509100230084,0.18213153563915552,3.49813629570864
spatial_test,xgboost,storage_class,low_storage,16,0.3142169879248202,0.34309663522392053,0.46986972005803845,-8.766384903194139
spatial_test,xgboost,storage_class,mixed_storage,19,0.5177542640289765,0.4211694382146316,0.4668512296996456,-0.9728436521468956
spatial_test,xgboost,storage_class,unknown,1,-0.1133800061003025,-42.21614953624397,-70.89022842063463,-82.50004758843797
test,random_forest,storage_class,high_storage,37,0.6427870858371889,0.5193506037837584,0.5694788355975668,0.6733965213943595
test,random_forest,storage_class,low_storage,35,0.5371690165317546,0.5089347811459207,0.6099369124429542,0.2758279753632706
test,random_forest,storage_class,mixed_storage,28,0.6757476542989926,0.6292359080625134,0.6880195288072392,2.9868373968138036
test,transformer,storage_class,high_storage,37,0.6469205757888112,0.5690025608056934,0.636113209867847,-1.9010860112357209
test,transformer,storage_class,low_storage,35,0.6240274306006683,0.5477040835949798,0.6684917805332243,-8.659145477709453
test,transformer,storage_class,mixed_storage,28,0.7061836318025732,0.6614673831937362,0.7444126210403668,-7.954151359822435
test,xgboost,storage_class,high_storage,37,0.6023840582318953,0.4363443793948693,0.4561128216059091,-5.7415507631340725
test,xgboost,storage_class,low_storage,35,0.3713350004298202,0.3958452860708793,0.5178889655740752,-5.287386724480067
test,xgboost,storage_class,mixed_storage,28,0.5018935091552182,0.5245919258929129,0.6209819219162378,-2.3508605185812352
train,transformer,storage_class,high_storage,37,0.7984511516996108,0.7382062401133982,0.7659917431277489,-1.275355356396925
train,transformer,storage_class,low_storage,35,0.6751090470738736,0.6991653519548059,0.7692791796304101,-6.840602000605079
train,transformer,storage_class,mixed_storage,28,0.767164210575435,0.8029051033760761,0.8131407011761838,-3.5261491945845123
val,random_forest,storage_class,high_storage,37,0.7016779450906441,0.578081266558381,0.6072676217510752,3.151899211070366
val,random_forest,storage_class,low_storage,35,0.4468036386294236,0.5440471202218724,0.6488456659510711,-8.410308187200224
val,random_forest,storage_class,mixed_storage,28,0.6544383997853396,0.6189864721228633,0.6704242998252712,-0.33546600520115866
val,transformer,storage_class,high_storage,37,0.7367272582501585,0.6453943327282314,0.6588877674300135,1.929459974975612
val,transformer,storage_class,low_storage,35,0.6304820878836255,0.6010060539324458,0.7108355765277805,-9.565420809811489
