split,model,signature,n_basins,median_abs_error,ci_low,ci_high,ci_level,method
spatial_test,random_forest,q_mean,50,0.2551180686481779,0.1554431536343111,0.4437818264159698,0.95,basin_bootstrap_median
spatial_test,random_forest,runoff_ratio,50,0.07288397191474161,0.051333811064531845,0.1149794426068629,0.95,basin_bootstrap_median
spatial_test,random_forest,fdc_slope,50,0.46258270428646453,0.3009675098288289,0.6256069157297748,0.95,basin_bootstrap_median
spatial_test,random_forest,baseflow_index,50,0.08250253971922375,0.0554197606302965,0.1348836424891685,0.95,basin_bootstrap_median
spatial_test,random_forest,hfd_mean,50,5.5,3.5,7.256249999999966,0.95,basin_bootstrap_median
spatial_test,random_forest,q05,50,0.21470739165657998,0.1270126858478101,0.2855720868452374,0.95,basin_bootstrap_median
spatial_test,random_forest,q95,50,0.6287483465432517,0.3039831219589746,0.8500016236114374,0.95,basin_bootstrap_median
spatial_test,random_forest,high_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,random_forest,high_q_dur,50,0.720779220779221,0.6251920122887866,0.8811651583710396,0.95,basin_bootstrap_median
spatial_test,random_forest,low_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,random_forest,low_q_dur,50,2.1344696969696972,1.5811965811965818,2.7125000000000004,0.95,basin_bootstrap_median
spatial_test,random_forest,zero_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,transformer,q_mean,50,0.2728273137759848,0.1610061599960618,0.4501037474426297,0.95,basin_bootstrap_median
spatial_test,transformer,runoff_ratio,50,0.08632469780143695,0.0539166945798141,0.1271201857899388,0.95,basin_bootstrap_median
spatial_test,transformer,fdc_slope,50,0.3276631330629055,0.2281574082456291,0.5025690635649674,0.95,basin_bootstrap_median
spatial_test,transformer,baseflow_index,50,0.0791260654472106,0.0585468657371232,0.09739133416724874,0.95,basin_bootstrap_median
spatial_test,transformer,hfd_mean,50,9.125,7.25,11.753124999999983,0.95,basin_bootstrap_median
spatial_test,transformer,q05,50,0.2049919698893177,0.1307873150105708,0.3250307940926363,0.95,basin_bootstrap_median
spatial_test,transformer,q95,50,0.7121749723352767,0.40193052775464183,0.959207248657671,0.95,basin_bootstrap_median
spatial_test,transformer,high_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,transformer,high_q_dur,50,0.6050283050283052,0.44768062397372743,1.088071348940914,0.95,basin_bootstrap_median
spatial_test,transformer,low_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,transformer,low_q_dur,50,2.0825077700077697,1.5784313725490198,2.887398785425101,0.95,basin_bootstrap_median
spatial_test,transformer,zero_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,xgboost,q_mean,50,0.20590441897950768,0.0986476879052673,0.46660280311296964,0.95,basin_bootstrap_median
spatial_test,xgboost,runoff_ratio,50,0.07383384505992605,0.0377444486028875,0.1319599168865414,0.95,basin_bootstrap_median
spatial_test,xgboost,fdc_slope,50,0.5153766727888213,0.3057309684563115,0.7161281293408441,0.95,basin_bootstrap_median
spatial_test,xgboost,baseflow_index,50,0.0935585725399453,0.0681431335065064,0.1427101397091379,0.95,basin_bootstrap_median
spatial_test,xgboost,hfd_mean,50,6.875,6.0,8.0,0.95,basin_bootstrap_median
spatial_test,xgboost,q05,50,0.20646102915524528,0.13529138573398997,0.28425882790660434,0.95,basin_bootstrap_median
spatial_test,xgboost,q95,50,0.688669641743888,0.4227509057893674,1.165720541330689,0.95,basin_bootstrap_median
spatial_test,xgboost,high_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,xgboost,high_q_dur,50,0.841488903253609,0.6775960061443933,1.0833333333333337,0.95,basin_bootstrap_median
spatial_test,xgboost,low_q_freq,50,0.0,0.0,0.000684462696783,0.95,basin_bootstrap_median
spatial_test,xgboost,low_q_dur,50,1.8924242424242426,1.474747474747474,2.575649024178431,0.95,basin_bootstrap_median
spatial_test,xgboost,zero_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,random_forest,q_mean,100,0.09730384583269325,0.08475983286731664,0.1072806416981323,0.95,basin_bootstrap_median
test,random_forest,runoff_ratio,100,0.03061752066203955,0.0269683281507288,0.03794231625983385,0.95,basin_bootstrap_median
test,random_forest,fdc_slope,100,0.27789755085263157,0.23125206427846182,0.32565427200740565,0.95,basin_bootstrap_median
test,random_forest,baseflow_index,100,0.070165636549504,0.0575575760642976,0.0882813662875442,0.95,basin_bootstrap_median
test,random_forest,hfd_mean,100,6.5,5.125,8.128124999999983,0.95,basin_bootstrap_median
test,random_forest,q05,100,0.11928775678462825,0.09086046487927796,0.1594761493039678,0.95,basin_bootstrap_median
test,random_forest,q95,100,0.30243284082600796,0.1901216068588853,0.4745768541346027,0.95,basin_bootstrap_median
test,random_forest,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,random_forest,high_q_dur,100,0.8281137992831545,0.7400000000000002,1.0331871345029238,0.95,basin_bootstrap_median
test,random_forest,low_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,random_forest,low_q_dur,100,2.137445887445888,1.6158578263841423,2.4677544677544674,0.95,basin_bootstrap_median
test,random_forest,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,transformer,q_mean,100,0.10094744956285845,0.07056166724604429,0.13779869233864456,0.95,basin_bootstrap_median
test,transformer,runoff_ratio,100,0.03152006645149965,0.0241893668017739,0.04253153040677615,0.95,basin_bootstrap_median
test,transformer,fdc_slope,100,0.24292967343111954,0.2050132740463945,0.3055132743130411,0.95,basin_bootstrap_median
test,transformer,baseflow_index,100,0.0477439250232785,0.0402385984159125,0.05415423457884867,0.95,basin_bootstrap_median
test,transformer,hfd_mean,0,,,,0.95,basin_bootstrap_median
test,transformer,q05,100,0.057598021086181,0.0411700709527836,0.07095187909591989,0.95,basin_bootstrap_median
test,transformer,q95,100,0.37502565865408705,0.22717050260193167,0.6016712008345435,0.95,basin_bootstrap_median
test,transformer,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,transformer,high_q_dur,100,0.39187283304930354,0.26309523809523805,0.5341485507246376,0.95,basin_bootstrap_median
test,transformer,low_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,transformer,low_q_dur,100,1.178030303030303,0.7142857142857144,1.3579545454545454,0.95,basin_bootstrap_median
