split,signature,rank,model,median_abs_error
spatial_test,q_mean,1,xgboost,0.20590441897950768
spatial_test,q_mean,2,random_forest,0.2551180686481779
spatial_test,q_mean,3,transformer,0.2728273137759848
spatial_test,runoff_ratio,1,random_forest,0.07288397191474161
spatial_test,runoff_ratio,2,xgboost,0.07383384505992605
spatial_test,runoff_ratio,3,transformer,0.08632469780143695
spatial_test,fdc_slope,1,transformer,0.3276631330629055
spatial_test,fdc_slope,2,random_forest,0.46258270428646453
spatial_test,fdc_slope,3,xgboost,0.5153766727888213
spatial_test,baseflow_index,1,transformer,0.0791260654472106
spatial_test,baseflow_index,2,random_forest,0.08250253971922375
spatial_test,baseflow_index,3,xgboost,0.0935585725399453
spatial_test,hfd_mean,1,random_forest,5.5
spatial_test,hfd_mean,2,xgboost,6.875
spatial_test,hfd_mean,3,transformer,9.125
spatial_test,q05,1,transformer,0.2049919698893177
spatial_test,q05,2,xgboost,0.20646102915524528
spatial_test,q05,3,random_forest,0.21470739165657998
spatial_test,q95,1,random_forest,0.6287483465432517
spatial_test,q95,2,xgboost,0.688669641743888
spatial_test,q95,3,transformer,0.7121749723352767
spatial_test,high_q_freq,1,random_forest,0.0
spatial_test,high_q_freq,2,transformer,0.0
spatial_test,high_q_freq,3,xgboost,0.0
spatial_test,high_q_dur,1,transformer,0.6050283050283052
spatial_test,high_q_dur,2,random_forest,0.720779220779221
spatial_test,high_q_dur,3,xgboost,0.841488903253609
spatial_test,low_q_freq,1,random_forest,0.0
spatial_test,low_q_freq,2,transformer,0.0
spatial_test,low_q_freq,3,xgboost,0.0
spatial_test,low_q_dur,1,xgboost,1.8924242424242426
spatial_test,low_q_dur,2,transformer,2.0825077700077697
spatial_test,low_q_dur,3,random_forest,2.1344696969696972
spatial_test,zero_q_freq,1,random_forest,0.0
spatial_test,zero_q_freq,2,transformer,0.0
spatial_test,zero_q_freq,3,xgboost,0.0
test,q_mean,1,random_forest,0.09730384583269325
test,q_mean,2,transformer,0.10094744956285845
test,q_mean,3,xgboost,0.12805431993684
test,runoff_ratio,1,random_forest,0.03061752066203955
test,runoff_ratio,2,transformer,0.03152006645149965
test,runoff_ratio,3,xgboost,0.043392305417687904
test,fdc_slope,1,transformer,0.24292967343111954
test,fdc_slope,2,random_forest,0.27789755085263157
test,fdc_slope,3,xgboost,0.35568672317827754
test,baseflow_index,1,transformer,0.0477439250232785
test,baseflow_index,2,random_forest,0.070165636549504
test,baseflow_index,3,xgboost,0.0931592892199435
test,hfd_mean,1,random_forest,6.5
test,hfd_mean,2,xgboost,8.0
test,hfd_mean,3,transformer,
test,q05,1,transformer,0.057598021086181
test,q05,2,random_forest,0.11928775678462825
test,q05,3,xgboost,0.1750772151680322
test,q95,1,random_forest,0.30243284082600796
test,q95,2,transformer,0.37502565865408705
test,q95,3,xgboost,0.5859851991780044
test,high_q_freq,1,random_forest,0.0
test,high_q_freq,2,transformer,0.0
test,high_q_freq,3,xgboost,0.0
test,high_q_dur,1,transformer,0.39187283304930354
test,high_q_dur,2,xgboost,0.8256769374416435
test,high_q_dur,3,random_forest,0.8281137992831545
test,low_q_freq,1,random_forest,0.0
test,low_q_freq,2,transformer,0.0
test,low_q_freq,3,xgboost,0.0003422313483915
test,low_q_dur,1,transformer,1.178030303030303
test,low_q_dur,2,xgboost,1.8716666666666666
test,low_q_dur,3,random_forest,2.137445887445888
test,zero_q_freq,1,random_forest,0.0
test,zero_q_freq,2,transformer,0.0
test,zero_q_freq,3,xgboost,0.0
train,q_mean,1,transformer,0.044125400623817604
train,runoff_ratio,1,transformer,0.0145698899178026
train,fdc_slope,1,transformer,0.18581760155618726
train,baseflow_index,1,transformer,0.0412748579741724
train,hfd_mean,1,transformer,
train,q05,1,transformer,0.0620997667449884
train,q95,1,transformer,0.27976610850680306
train,high_q_freq,1,transformer,0.0
train,high_q_dur,1,transformer,0.2222222222222223
train,low_q_freq,1,transformer,0.0
train,low_q_dur,1,transformer,0.8243589743589745
train,zero_q_freq,1,transformer,0.0
val,q_mean,1,transformer,0.08832393861355589
val,q_mean,2,random_forest,0.0968916885575723
val,q_mean,3,xgboost,0.1372673599565219
val,runoff_ratio,1,transformer,0.027351121712954098
val,runoff_ratio,2,random_forest,0.031228346259673252
val,runoff_ratio,3,xgboost,0.04419293795990695
val,fdc_slope,1,transformer,0.22113529185557196
val,fdc_slope,2,random_forest,0.23187618156412548
val,fdc_slope,3,xgboost,0.36674623283307195
val,baseflow_index,1,transformer,0.0480151944403798
val,baseflow_index,2,random_forest,0.08016356642054295
val,baseflow_index,3,xgboost,0.1042398004297024
val,hfd_mean,1,random_forest,5.25
val,hfd_mean,2,xgboost,7.375
val,hfd_mean,3,transformer,8.0
val,q05,1,transformer,0.0458113968827975
val,q05,2,random_forest,0.0927693519048665
