model,feature,importance
random_forest,arid_1,0.1287803121342815
random_forest,prec_sum_60,0.06670309416904989
random_forest,p_mean,0.05331763490804004
random_forest,prec_sum_7,0.04743063387298733
random_forest,arid_2,0.04600058489828121
random_forest,swe_delta_30,0.03905912401090555
random_forest,2m_temp_mean_mean_3,0.03845037557456082
random_forest,swe_delta_7,0.03561060472899223
random_forest,prec_sum_14,0.033700286333924065
random_forest,prec_sum_3,0.03349262771239316
random_forest,prec_sum_30,0.03346308153241887
random_forest,swe_mean_90,0.02589032471734555
random_forest,2m_temp_mean_mean_7,0.017630008245342135
random_forest,volsw_123,0.017618937104686854
random_forest,strm_dens,0.016665374036004602
random_forest,volsw_123_mean_1,0.016326525778199135
random_forest,2m_temp_mean_lag_1,0.015319079364787484
random_forest,surf_net_therm_rad_mean_mean_90,0.01068601113536536
random_forest,lo_prec_du,0.009650718706041254
random_forest,lo_prec_fr,0.009189574739888018
random_forest,prec_sum_90,0.008313169965352961
random_forest,swe_mean_60,0.008114718061668344
random_forest,elev_std,0.007393427442942687
random_forest,volsw_4_mean_90,0.0070560650017296965
random_forest,surf_net_therm_rad_mean_mean_60,0.006534314226530942
random_forest,prec_lag_1,0.005974839512251014
random_forest,ndvi_min,0.005001700010051418
random_forest,lake_fra,0.0046868878506094
random_forest,hi_prec_fr,0.0038607485288291456
random_forest,volsw_123_mean_3,0.0038092363986735596
random_forest,volsw_4_mean_60,0.003778641951654834
random_forest,grav_fra,0.0037663253211390963
random_forest,surf_press_mean_30,0.003663663297068579
random_forest,mvert_dist,0.0035590262615420583
random_forest,surf_net_therm_rad_mean_mean_30,0.003492222483490108
random_forest,sand_fra,0.0033799245139847626
random_forest,lai_diff,0.003353841235232266
random_forest,surf_net_therm_rad_mean_mean_3,0.003353619457905952
random_forest,swe_mean_30,0.0032975720736376423
random_forest,lai_low_veg,0.0032305883109561714
random_forest,mvert_ang,0.0031395252239176004
random_forest,glac_fra,0.0030842250374926356
random_forest,surf_press_mean_90,0.0029338169487317218
random_forest,surf_press_mean_60,0.0029229156319179007
random_forest,2m_temp_max_mean_90,0.0028682099784023978
random_forest,volsw_4_mean_30,0.002866753070475466
random_forest,volsw_123_mean_90,0.002852686613174586
random_forest,surf_press_mean_7,0.0028247420599672246
random_forest,agr_fra,0.0027854712851371234
random_forest,total_et_sum_90,0.002736013348814917
random_forest,clay_fra,0.0027350977460717683
random_forest,2m_temp_min_mean_7,0.002733358832260011
random_forest,2m_temp_mean_mean_30,0.0026813357169385784
random_forest,lai_high_veg,0.0025877299905531833
random_forest,fcst_alb,0.002528461457484142
random_forest,p_season,0.0025266564537106797
random_forest,prec_sum_1,0.002504723599348189
random_forest,doy_sin,0.002488889471334503
random_forest,10m_wind_u,0.0024684378203582713
random_forest,frac_snow,0.002450033149414683
random_forest,forest_fra,0.0023849149393694387
random_forest,surf_net_therm_rad_mean_mean_7,0.002384248781750606
random_forest,area_calc,0.0023768492323037126
random_forest,prec,0.0023654663064539097
random_forest,slope_mean,0.0023442904172935614
random_forest,surf_press_mean_14,0.002303233175973132
random_forest,2m_temp_max_mean_7,0.0022930131458573574
random_forest,area_gov,0.002245864939915631
random_forest,volsw_123_mean_60,0.002241757300319981
random_forest,2m_temp_min_mean_3,0.002218713789472659
random_forest,gvf_max,0.002216045738044014
random_forest,surf_net_therm_rad_mean_mean_14,0.002211329261739754
random_forest,bedrk_dep,0.002197884914990665
random_forest,2m_dp_temp_max,0.0021943448425791718
random_forest,volsw_123_mean_30,0.0021422041080071527
random_forest,lai_max,0.002126666849311248
random_forest,surf_net_solar_rad_mean_mean_90,0.002094853010482486
random_forest,2m_temp_mean_mean_14,0.002087037403903968
random_forest,2m_temp_max_mean_3,0.002071873025436525
random_forest,2m_temp_max_mean_60,0.0020565099431246693
random_forest,silt_fra,0.002022668478295645
random_forest,volsw_4_mean_14,0.002014466198130421
random_forest,swe_mean_14,0.0019928643480487916
random_forest,2m_temp_min_mean_30,0.001991894687198871
random_forest,2m_temp_max_mean_14,0.001934584851371316
random_forest,2m_temp_min_mean_60,0.0019133073772228948
