split,event_type,season,climate_sensitivity,events,basins,median_peak_q,median_p7,median_p30,median_temp7,median_swe_before,median_swe_delta_7,median_soil_wetness
test,cool_season_rain,DJF,cool_season_rainfall,37,33,6.9336,46.66000000000001,105.74,-1.5571428571428583,10.49,18.74000000000001,0.3742857142857143
test,cool_season_rain,MAM,cool_season_rainfall,45,33,5.230847405112316,53.5,87.55000000000001,5.257142857142858,0.46,3.19,0.3714285714285714
test,cool_season_rain,SON,cool_season_rainfall,61,40,4.59920610687023,51.90000000000001,82.82000000000001,8.399999999999999,0.0,1.5199999999999998,0.36000000000000004
test,long_rain_wet_soil,DJF,antecedent_wetness_storage,59,35,4.561069167643611,39.91,100.31,1.342857142857143,5.08,4.939999999999998,0.39285714285714285
test,long_rain_wet_soil,JJA,antecedent_wetness_storage,155,65,6.834079231692677,71.22000000000001,213.66000000000003,13.285714285714286,0.0,0.0,0.39000000000000007
test,long_rain_wet_soil,MAM,antecedent_wetness_storage,103,57,9.022868731159221,64.25000000000004,139.81,6.042857142857143,0.26,0.009999999999999995,0.4028571428571429
test,long_rain_wet_soil,SON,antecedent_wetness_storage,144,68,4.968272284526485,61.86000000000001,137.52,7.450000000000001,0.0,0.04,0.3942857142857143
test,rain_on_snow,DJF,warming_snow_transition,90,48,5.954286892387518,35.184999999999974,102.84,2.3714285714285723,17.865000000000002,-9.649999999999999,0.3985714285714286
test,rain_on_snow,JJA,warming_snow_transition,43,18,8.274512111604311,66.36000000000001,218.89,7.1571428571428575,226.24,-41.06999999999999,0.42428571428571427
test,rain_on_snow,MAM,warming_snow_transition,99,51,8.521534462292077,56.44000000000004,145.84,5.085714285714286,137.84,-35.0,0.4071428571428571
test,rain_on_snow,SON,warming_snow_transition,11,11,5.1046251319957765,43.18,149.96,2.8142857142857163,22.4,-11.47,0.36
test,rainfall_runoff,DJF,mixed_rainfall_runoff,54,26,10.384082932260831,33.57500000000002,112.825,-1.6214285714285728,69.675,10.350000000000001,0.37999999999999995
test,rainfall_runoff,JJA,mixed_rainfall_runoff,27,20,9.099020792333361,26.61,127.78,13.314285714285715,0.0,0.0,0.3271428571428571
test,rainfall_runoff,MAM,mixed_rainfall_runoff,30,23,3.2373810771211646,27.134999999999987,84.74,9.771428571428572,0.0,0.0,0.34714285714285714
test,rainfall_runoff,SON,mixed_rainfall_runoff,26,16,5.898155371900826,27.630000000000024,105.94999999999999,7.778571428571429,0.0,0.0,0.3871428571428571
test,snowmelt,DJF,warming_snow_transition,70,43,4.145062090077887,23.080000000000002,59.510000000000005,1.3928571428571423,14.885,-7.61,0.3871428571428571
test,snowmelt,JJA,warming_snow_transition,50,21,8.522162263258654,22.48000000000001,151.90000000000003,10.135714285714283,276.53,-83.82999999999998,0.3985714285714286
test,snowmelt,MAM,warming_snow_transition,87,49,7.358186864014801,22.659999999999997,131.82,5.142857142857144,213.97,-60.86,0.3971428571428572
test,snowmelt,SON,warming_snow_transition,11,10,4.49463829787234,17.689999999999948,86.28999999999999,3.37142857142857,8.73,-8.66,0.3757142857142857
test,storage_release,DJF,antecedent_wetness_storage,32,25,3.6689965768190858,23.320000000000004,89.57500000000002,1.7500000000000004,2.385,1.8499999999999996,0.4014285714285714
test,storage_release,JJA,antecedent_wetness_storage,64,38,5.592936978520948,24.405,186.695,14.571428571428571,0.0,0.0,0.3742857142857143
test,storage_release,MAM,antecedent_wetness_storage,30,26,4.10870495049505,25.525000000000006,107.79500000000002,3.257142857142858,0.76,1.485,0.39928571428571424
test,storage_release,SON,antecedent_wetness_storage,24,20,3.5606207453363363,20.835,136.44,8.442857142857143,0.0,0.0,0.39571428571428574
test,warm_season_short_rain,JJA,warm_season_rainfall_intensity,352,84,7.619104880706315,63.54999999999998,214.83500000000004,14.478571428571431,0.0,0.0,0.36428571428571427
test,warm_season_short_rain,MAM,warm_season_rainfall_intensity,137,56,5.946797202797203,60.12999999999994,154.82,11.07142857142857,0.0,0.0,0.3814285714285714
test,warm_season_short_rain,SON,warm_season_rainfall_intensity,147,69,6.763641754169239,67.17999999999998,175.65,13.314285714285715,0.0,0.0,0.37999999999999995
val,cool_season_rain,DJF,cool_season_rainfall,52,37,7.326249496030808,45.319999999999936,94.715,-0.15714285714285658,24.215,8.825000000000003,0.36857142857142855
val,cool_season_rain,MAM,cool_season_rainfall,36,25,2.6677740665886605,31.599999999999994,48.894999999999996,7.442857142857145,0.005,0.005,0.36214285714285716
