split,attribute,target,spearman_rho,n
train,bfi,pbias_xlstm,0.7138733706483578,100
val,bfi,kge_xgb,0.6386166841324867,100
spatial_test,forest_fra,memory_gain_xlstm_vs_rf,0.5397877372062305,50
test,bfi,kge_xgb,0.519637789024427,100
spatial_test,forest_fra,sequence_gain_vs_tree,0.5110214690045818,50
spatial_test,forest_fra,tree_advantage,-0.5110214690045818,50
train,bfi,kge_xlstm,0.5109545559976776,100
val,bfi,pbias_xgb,0.5071200114889747,100
test,area_calc,kge_rf,0.5054905490549054,100
train,area_calc,kge_xlstm,0.5007980798079807,100
val,frac_snow,kge_rf,0.49622879392532704,100
val,bfi,pbias_rf,0.4873352020285787,100
test,area_calc,kge_xgb,0.4779357935793579,100
val,bfi,pbias_xlstm,0.4746193963729587,100
test,frac_snow,kge_rf,0.47018358644205005,100
test,frac_snow,kge_xgb,0.4529883421935752,100
test,area_calc,kge_xlstm,0.4393279327932793,100
val,bfi,kge_rf,0.4314972729933996,100
spatial_test,bfi,kge_xgb,0.42370589710037576,49
test,frac_snow,kge_xlstm,0.40513365301149884,100
val,geol_poros,kge_rf,-0.4044404713857065,100
spatial_test,geol_poros,kge_xlstm,-0.3947521501987137,50
spatial_test,geol_poros,kge_xgb,-0.3923492274436691,50
val,area_calc,kge_rf,0.39215121512151213,100
val,area_calc,kge_xgb,0.39063906390639064,100
test,aridity,kge_xgb,-0.3882713998688823,100
test,aridity,kge_rf,-0.38094099337405596,100
val,aridity,kge_rf,-0.3780232394375403,100
val,geol_poros,kge_xlstm,-0.37658075199929764,100
spatial_test,soil_tawc,sequence_gain_vs_tree,-0.3684780833168964,50
spatial_test,soil_tawc,tree_advantage,0.3684780833168964,50
spatial_test,area_calc,kge_xgb,0.3682593037214886,50
test,area_calc,pbias_xgb,0.36636063606360636,100
spatial_test,bfi,kge_rf,0.3626808184717571,49
val,frac_snow,memory_gain_xlstm_vs_rf,-0.3625000215694381,100
val,soil_condu,memory_gain_xlstm_vs_rf,0.36151251957925346,100
spatial_test,soil_tawc,memory_gain_xlstm_vs_rf,-0.3589927005574911,50
spatial_test,geol_poros,kge_rf,-0.3572665552200191,50
val,frac_snow,kge_xgb,0.3556808034625133,100
spatial_test,soil_condu,pbias_rf,0.35241571780632164,50
train,area_calc,pbias_xlstm,0.35103510351035105,100
test,area_calc,pbias_rf,0.348094809480948,100
val,soil_condu,kge_rf,-0.34508149621297474,100
val,fdc_slope,pbias_xgb,-0.3448375182659333,100
test,soil_condu,kge_rf,-0.34422933941311656,100
val,soil_condu,sequence_gain_vs_tree,0.3430531229851434,100
val,soil_condu,tree_advantage,-0.3430531229851434,100
val,fdc_slope,pbias_rf,-0.3427132994713879,100
test,bfi,kge_rf,0.3414124808734526,100
test,geol_poros,kge_rf,-0.3407739845861059,100
test,geol_poros,kge_xgb,-0.3398549382156617,100
val,frac_snow,sequence_gain_vs_tree,-0.33803495008803014,100
val,frac_snow,tree_advantage,0.33803495008803014,100
spatial_test,area_calc,kge_rf,0.3264825930372149,50
spatial_test,aridity,kge_xlstm,-0.3237413830648221,50
spatial_test,soil_condu,pbias_xgb,0.3236960940330618,50
test,soil_condu,kge_xgb,-0.32366355523625867,100
test,geol_poros,kge_xlstm,-0.3232880761915746,100
val,frac_snow,kge_xlstm,0.31815407544854607,100
test,aridity,kge_xlstm,-0.31703257639008653,100
spatial_test,forest_fra,kge_xlstm,0.3134994971959317,50
train,geol_poros,kge_xlstm,-0.3131845729557101,100
train,frac_snow,kge_xlstm,0.3126566441112454,100
spatial_test,fdc_slope,kge_rf,-0.3080690834952308,49
val,fdc_slope,pbias_xlstm,-0.2987887752451949,100
spatial_test,area_calc,pbias_xgb,0.29594237695078035,50
spatial_test,frac_snow,kge_xlstm,0.29451464630245494,50
val,is_impacted,memory_gain_xlstm_vs_rf,-0.2933123947404857,100
val,geol_poros,kge_xgb,-0.2928694433815759,100
test,soil_condu,kge_xlstm,-0.2873268691578008,100
val,is_impacted,sequence_gain_vs_tree,-0.2849914757407556,100
val,is_impacted,tree_advantage,0.2849914757407556,100
train,fdc_slope,pbias_xlstm,-0.2834691973286006,100
spatial_test,fdc_slope,kge_xgb,-0.2816908595523633,49
spatial_test,urban_fra,tree_advantage,0.2812402567610932,50
spatial_test,urban_fra,sequence_gain_vs_tree,-0.2812402567610932,50
spatial_test,urban_fra,kge_xlstm,-0.27946299126149277,50
val,aridity,kge_xgb,-0.2793659340079894,100
val,aridity,kge_xlstm,-0.2758598263970324,100
spatial_test,area_calc,pbias_xlstm,0.2746218487394958,50
train,geol_poros,pbias_xlstm,-0.2696409968815235,100
spatial_test,is_impacted,kge_xgb,0.2663093613876402,50
test,area_calc,pbias_xlstm,0.26613861386138615,100
val,geol_perme,pbias_xlstm,0.2654661998054295,100
val,bfi,tree_advantage,0.2632753853369597,100
val,bfi,sequence_gain_vs_tree,-0.2632753853369597,100
test,bfi,kge_xlstm,0.2560263559683948,100
val,area_calc,pbias_xgb,0.25219321932193217,100
val,bfi,kge_xlstm,0.2511596648939692,100
val,area_calc,pbias_rf,0.24782478247824777,100
spatial_test,soil_condu,pbias_xlstm,0.24723850030893205,50
val,soil_condu,kge_xgb,-0.2442929507649649,100
test,aridity,pbias_xgb,0.240450540969935,100
spatial_test,fdc_slope,kge_xlstm,-0.24000612268326693,49
test,forest_fra,kge_rf,-0.2380300875889009,100
val,area_calc,kge_xlstm,0.23769576957695768,100
spatial_test,urban_fra,memory_gain_xlstm_vs_rf,-0.23724092709530986,50
test,urban_fra,pbias_xgb,0.23306680196762872,100
test,urban_fra,pbias_rf,0.23210021802809117,100
test,aridity,pbias_rf,0.23146313841239605,100
spatial_test,is_impacted,pbias_xgb,0.2302466353663973,50
val,urban_fra,kge_rf,-0.22376118018947194,100
spatial_test,area_calc,pbias_rf,0.22208883553421366,50
test,soil_condu,pbias_xgb,0.2214947558166476,100
val,aridity,memory_gain_xlstm_vs_rf,0.21944391334880686,100
val,bfi,memory_gain_xlstm_vs_rf,-0.21653474812524454,100
val,fdc_slope,kge_xgb,-0.21439008217942931,100
