split,model,zone,zone_value,basins,median_kge,median_nse,median_log_nse,median_pbias
spatial_test,random_forest,snow_class,low_snow,15,0.3984751654875129,0.3114971941016011,0.3442695491526422,5.538085275408891
spatial_test,random_forest,snow_class,mixed_snow,20,0.47938293410119204,0.43837741707689054,0.5154925950947521,2.8892786706523887
spatial_test,random_forest,snow_class,snow_influenced,15,0.5235106669123617,0.5046355668806425,0.5497646753506296,3.698004646237487
spatial_test,xgboost,snow_class,low_snow,15,0.2954296067978016,0.2887499924237859,0.2939705765627953,-0.9728436521468956
spatial_test,xgboost,snow_class,mixed_snow,20,0.4057986447321308,0.3994198207621006,0.4581404540485676,0.34562438564933273
spatial_test,xgboost,snow_class,snow_influenced,15,0.4787860995716956,0.4025661342619405,0.515716687527729,1.085977645033241
spatial_test,xlstm,snow_class,low_snow,15,0.1580590851524339,0.064012988097848,0.1944855473946061,6.3047992351993205
spatial_test,xlstm,snow_class,mixed_snow,20,0.4992453796208001,0.48775337246645295,0.5325259931471962,-6.238625509788491
spatial_test,xlstm,snow_class,snow_influenced,15,0.6223973100217008,0.5791454974304222,0.5765962858916898,-1.0519816573886949
test,random_forest,snow_class,low_snow,41,0.5390718646406965,0.4463781878328567,0.5499860279205395,6.082915193515524
test,random_forest,snow_class,mixed_snow,24,0.5498011035648259,0.5777905601176321,0.6508291112093744,-3.7565519957251166
test,random_forest,snow_class,snow_influenced,35,0.750708683802753,0.6686600432293118,0.73891262962602,2.234182042618688
test,xgboost,snow_class,low_snow,41,0.4161089804026218,0.3461706812221266,0.4440906443328831,-2.928605461503349
test,xgboost,snow_class,mixed_snow,24,0.4842573419771445,0.4716091193828425,0.5649546257175797,-9.824716767947677
test,xgboost,snow_class,snow_influenced,35,0.6023840582318953,0.5522925808948191,0.6596801288663344,-4.84643637876585
test,xlstm,snow_class,low_snow,41,0.5956125346288712,0.4947860460383432,0.627817081090901,-3.5411926027999634
test,xlstm,snow_class,mixed_snow,24,0.6404356325221214,0.5750145500240247,0.700195723351186,-5.729104097009278
test,xlstm,snow_class,snow_influenced,35,0.8184178203329329,0.6960830595077547,0.7629995291774998,-3.1050895657244495
train,xlstm,snow_class,low_snow,41,0.7237113485124194,0.7290186084800117,0.7770427294701977,-4.844335333478132
train,xlstm,snow_class,mixed_snow,24,0.7506157680408098,0.7961524360849521,0.8279274821634786,-2.540739341974118
train,xlstm,snow_class,snow_influenced,35,0.8597448638575783,0.8623966425013293,0.8901486375583392,-2.3662067756848635
val,random_forest,snow_class,low_snow,41,0.4509344826687176,0.4726010953690346,0.6226906964572043,-3.316479138388423
val,random_forest,snow_class,mixed_snow,24,0.6025264467453546,0.5545816219932718,0.6352520145082134,-2.3545137862672605
val,random_forest,snow_class,snow_influenced,35,0.7240091040620129,0.6498751697094407,0.7386484461335725,-0.8989862179731782
val,xgboost,snow_class,low_snow,41,0.4137041327203719,0.412731079566682,0.5497916075203466,-8.828161743225035
val,xgboost,snow_class,mixed_snow,24,0.5271180667082982,0.4839032269689737,0.6005972127039082,-10.283952972637032
val,xgboost,snow_class,snow_influenced,35,0.5920987904913805,0.5660540652165021,0.6400989504581172,-5.139082850762914
val,xlstm,snow_class,low_snow,41,0.6323220099536682,0.5777417226113333,0.6845653130916325,-7.55925100018758
val,xlstm,snow_class,mixed_snow,24,0.729843396292195,0.635626972939475,0.6671493013421065,-2.20312191903731
val,xlstm,snow_class,snow_influenced,35,0.7652100538000429,0.7199302529118274,0.758000386495286,-3.921758745753233
spatial_test,random_forest,aridity_class,dry,18,0.3706437958904496,0.3237268438935538,0.39293410862965716,2.8892786706523887
spatial_test,random_forest,aridity_class,humid,14,0.45911370076141966,0.4549493869527504,0.5417238894731347,-6.507727511529221
spatial_test,random_forest,aridity_class,moderate_aridity,18,0.5141991933186412,0.47922566422325186,0.5474634408944953,5.076196828439475
spatial_test,xgboost,aridity_class,dry,18,0.2768268171643077,0.3412983748685187,0.31410589489097196,-1.036098778454692
spatial_test,xgboost,aridity_class,humid,14,0.44245953550441774,0.3934918325577723,0.4578150324090057,-8.72673230168925
spatial_test,xgboost,aridity_class,moderate_aridity,18,0.4897685883747436,0.44755048754686466,0.48940870097410916,0.9328514892317002
spatial_test,xlstm,aridity_class,dry,18,0.42048080517083974,0.23994427991844441,0.21680175478829644,-1.6272690060755588
spatial_test,xlstm,aridity_class,humid,14,0.6094616280438322,0.4537081680254592,0.5492289858512986,-2.0867765632711133
spatial_test,xlstm,aridity_class,moderate_aridity,18,0.5889569604988673,0.5063082199874832,0.5233054587353789,-8.748313282215237
test,random_forest,aridity_class,dry,33,0.5388738745460426,0.4214692282514591,0.5384493151939449,9.594166048495511
test,random_forest,aridity_class,humid,38,0.7088959958086746,0.6638829238156614,0.7387962546571283,0.321397019012033
test,random_forest,aridity_class,moderate_aridity,29,0.5855759400411227,0.511226662997305,0.5817311672133467,-2.7970285802976473
test,xgboost,aridity_class,dry,33,0.4161089804026218,0.3403514801678667,0.431971197246497,1.9938491322192504
test,xgboost,aridity_class,humid,38,0.5837504208850469,0.5487987286432753,0.6585449648997777,-6.6571711235161475
test,xgboost,aridity_class,moderate_aridity,29,0.4758112355775945,0.4363443793948693,0.492214782438512,-8.002300371627365
test,xlstm,aridity_class,dry,33,0.6012046664124471,0.5130370246062983,0.6175993692512228,0.4495344609260449
test,xlstm,aridity_class,humid,38,0.7595247931690442,0.7070727016601015,0.7646553593037779,-4.5456487503849905
test,xlstm,aridity_class,moderate_aridity,29,0.6475209328202093,0.5583984642365915,0.647241967921697,-5.39661290567454
train,xlstm,aridity_class,dry,33,0.7283307116166964,0.7290186084800117,0.8005257583783294,-4.754524138356649
train,xlstm,aridity_class,humid,38,0.8121947956189564,0.8347230303497477,0.8703996366821859,-3.7456343410516793
train,xlstm,aridity_class,moderate_aridity,29,0.8225031686820545,0.7889643412577714,0.824503479459137,-1.5450997528102115
val,random_forest,aridity_class,dry,33,0.4468036386294235,0.4405145456153345,0.6119230579513626,-8.172139506754803
val,random_forest,aridity_class,humid,38,0.6723660747580006,0.6394333116656555,0.7222114298289641,-3.554182700776839
val,random_forest,aridity_class,moderate_aridity,29,0.6178487214829919,0.5680318312200452,0.6277922892165324,3.151899211070366
val,xgboost,aridity_class,dry,33,0.3689573213699465,0.3815586403561647,0.5663444880807079,-9.559531482164966
val,xgboost,aridity_class,humid,38,0.5496863062118384,0.5542899015512911,0.6399645092066717,-11.464484522630002
val,xgboost,aridity_class,moderate_aridity,29,0.5592065447015949,0.4837195798891028,0.5538005622129611,-2.898325693879072
val,xlstm,aridity_class,dry,33,0.605748269084041,0.5453364584763033,0.6842363513381429,-8.164862544312115
val,xlstm,aridity_class,humid,38,0.7552788469735976,0.7135728038241338,0.7579949859066863,-5.840045689115239
val,xlstm,aridity_class,moderate_aridity,29,0.7452319876418112,0.6502075257581881,0.6684096002940894,2.214630682270901
spatial_test,random_forest,storage_class,high_storage,14,0.5766380429621043,0.2709373337546832,0.25159736868584404,9.577200002232292
spatial_test,random_forest,storage_class,low_storage,16,0.38995642508871897,0.4030024939685179,0.5384887562158125,-0.20222210234894877
spatial_test,random_forest,storage_class,mixed_storage,19,0.5547543132191367,0.5172421556504339,0.4833136754903433,3.698004646237487
spatial_test,random_forest,storage_class,unknown,1,-0.0319618200599647,-44.139420895653984,-74.07808222121322,-84.98672365229532
spatial_test,xgboost,storage_class,high_storage,14,0.5543398770151067,0.258509100230084,0.18213153563915552,3.49813629570864
spatial_test,xgboost,storage_class,low_storage,16,0.3142169879248202,0.34309663522392053,0.46986972005803845,-8.766384903194139
spatial_test,xgboost,storage_class,mixed_storage,19,0.5177542640289765,0.4211694382146316,0.4668512296996456,-0.9728436521468956
spatial_test,xgboost,storage_class,unknown,1,-0.1133800061003025,-42.21614953624397,-70.89022842063463,-82.50004758843797
spatial_test,xlstm,storage_class,high_storage,14,0.6148441619561882,0.31547514442239166,0.14366406990837055,0.23176997216765016
spatial_test,xlstm,storage_class,low_storage,16,0.47610630990240144,0.46697334346720054,0.554242741679104,-7.702967829093044
spatial_test,xlstm,storage_class,mixed_storage,19,0.6446701443824931,0.5533196513558948,0.5373019709116447,-9.860795773134706
spatial_test,xlstm,storage_class,unknown,1,-0.3827281906883955,-53.50311446094435,-93.19683867151684,-94.43275211322532
test,random_forest,storage_class,high_storage,37,0.6427870858371888,0.5193506037837585,0.5694788355975668,0.6733965213943599
test,random_forest,storage_class,low_storage,35,0.5371690165317546,0.5089347811459207,0.6099369124429542,0.2758279753632685
test,random_forest,storage_class,mixed_storage,28,0.6757476542989926,0.6292359080625134,0.6880195288072392,2.9868373968138053
test,xgboost,storage_class,high_storage,37,0.6023840582318953,0.4363443793948693,0.4561128216059091,-5.7415507631340725
test,xgboost,storage_class,low_storage,35,0.3713350004298202,0.3958452860708793,0.5178889655740752,-5.287386724480067
test,xgboost,storage_class,mixed_storage,28,0.5018935091552182,0.5245919258929129,0.6209819219162378,-2.3508605185812352
test,xlstm,storage_class,high_storage,37,0.6909419895971691,0.5720082259266096,0.6309256945768189,-1.9673358037791977
test,xlstm,storage_class,low_storage,35,0.6012046664124471,0.5134850970010516,0.6585794666796454,-10.557441512664274
test,xlstm,storage_class,mixed_storage,28,0.7283430030351088,0.6899332532527813,0.7454311882387126,-4.337341417708329
train,xlstm,storage_class,high_storage,37,0.8532115639692861,0.8156465088446171,0.8292803525747348,-0.7298316439540459
train,xlstm,storage_class,low_storage,35,0.6638200303656043,0.7087113883768108,0.8005257583783294,-8.009715135517617
train,xlstm,storage_class,mixed_storage,28,0.8027284337321707,0.8347230303497477,0.8521539126314389,-3.560642113288509
val,random_forest,storage_class,high_storage,37,0.7016779450906442,0.578081266558381,0.6072676217510752,3.151899211070366
val,random_forest,storage_class,low_storage,35,0.4468036386294235,0.5440471202218724,0.6488456659510711,-8.410308187200222
