split,signature,rank,model,median_abs_error
spatial_test,q_mean,1,xgboost,0.20590441897950768
spatial_test,q_mean,2,random_forest,0.25511806864817776
spatial_test,q_mean,3,xlstm,0.307918995524336
spatial_test,runoff_ratio,1,random_forest,0.07288397191474161
spatial_test,runoff_ratio,2,xgboost,0.07383384505992605
spatial_test,runoff_ratio,3,xlstm,0.08539450482148025
spatial_test,fdc_slope,1,xlstm,0.45573973634731557
spatial_test,fdc_slope,2,random_forest,0.46258270428646453
spatial_test,fdc_slope,3,xgboost,0.5153766727888213
spatial_test,baseflow_index,1,random_forest,0.0825025397192238
spatial_test,baseflow_index,2,xlstm,0.08278591613162825
spatial_test,baseflow_index,3,xgboost,0.0935585725399453
spatial_test,hfd_mean,1,random_forest,5.5
spatial_test,hfd_mean,2,xgboost,6.875
spatial_test,hfd_mean,3,xlstm,7.25
spatial_test,q05,1,xlstm,0.1823979414304836
spatial_test,q05,2,xgboost,0.20646102915524528
spatial_test,q05,3,random_forest,0.21470739165657982
spatial_test,q95,1,random_forest,0.6287483465432518
spatial_test,q95,2,xgboost,0.688669641743888
spatial_test,q95,3,xlstm,0.7333775500777691
spatial_test,high_q_freq,1,random_forest,0.0
spatial_test,high_q_freq,2,xgboost,0.0
spatial_test,high_q_freq,3,xlstm,0.0
spatial_test,high_q_dur,1,xlstm,0.6640109890109893
spatial_test,high_q_dur,2,random_forest,0.720779220779221
spatial_test,high_q_dur,3,xgboost,0.841488903253609
spatial_test,low_q_freq,1,random_forest,0.0
spatial_test,low_q_freq,2,xgboost,0.0
spatial_test,low_q_freq,3,xlstm,0.0
spatial_test,low_q_dur,1,xgboost,1.8924242424242426
spatial_test,low_q_dur,2,xlstm,2.025641025641026
spatial_test,low_q_dur,3,random_forest,2.1344696969696972
spatial_test,zero_q_freq,1,random_forest,0.0
spatial_test,zero_q_freq,2,xgboost,0.0
spatial_test,zero_q_freq,3,xlstm,0.0
test,q_mean,1,random_forest,0.09730384583269325
test,q_mean,2,xlstm,0.1055044128875417
test,q_mean,3,xgboost,0.12805431993684
test,runoff_ratio,1,random_forest,0.03061752066203955
test,runoff_ratio,2,xlstm,0.03156622852411345
test,runoff_ratio,3,xgboost,0.043392305417687904
test,fdc_slope,1,xlstm,0.1713193102098822
test,fdc_slope,2,random_forest,0.27789755085263085
test,fdc_slope,3,xgboost,0.35568672317827754
test,baseflow_index,1,xlstm,0.04309679244376815
test,baseflow_index,2,random_forest,0.0701656365495041
test,baseflow_index,3,xgboost,0.0931592892199435
test,hfd_mean,1,random_forest,6.5
test,hfd_mean,2,xgboost,8.0
test,hfd_mean,3,xlstm,
test,q05,1,xlstm,0.052586563114100454
test,q05,2,random_forest,0.11928775678462825
test,q05,3,xgboost,0.1750772151680322
test,q95,1,random_forest,0.3024328408260048
test,q95,2,xlstm,0.3644762211711339
test,q95,3,xgboost,0.5859851991780044
test,high_q_freq,1,random_forest,0.0
test,high_q_freq,2,xgboost,0.0
test,high_q_freq,3,xlstm,0.0
test,high_q_dur,1,xlstm,0.3566885964912281
test,high_q_dur,2,xgboost,0.8256769374416435
test,high_q_dur,3,random_forest,0.8281137992831545
test,low_q_freq,1,random_forest,0.0
test,low_q_freq,2,xlstm,0.0
test,low_q_freq,3,xgboost,0.0003422313483915
test,low_q_dur,1,xlstm,1.0113636363636365
test,low_q_dur,2,xgboost,1.8716666666666666
test,low_q_dur,3,random_forest,2.137445887445888
test,zero_q_freq,1,random_forest,0.0
test,zero_q_freq,2,xgboost,0.0
test,zero_q_freq,3,xlstm,0.0
train,q_mean,1,xlstm,0.0431264747087639
train,runoff_ratio,1,xlstm,0.012626145482499448
train,fdc_slope,1,xlstm,0.13552370182830795
train,baseflow_index,1,xlstm,0.0373533546323792
train,hfd_mean,1,xlstm,
train,q05,1,xlstm,0.0320018155225585
train,q95,1,xlstm,0.2282530788613274
train,high_q_freq,1,xlstm,0.0
train,high_q_dur,1,xlstm,0.2509803921568627
train,low_q_freq,1,xlstm,0.0
train,low_q_dur,1,xlstm,0.7738095238095238
train,zero_q_freq,1,xlstm,0.0
val,q_mean,1,xlstm,0.0939363743711395
val,q_mean,2,random_forest,0.0968916885575723
val,q_mean,3,xgboost,0.1372673599565219
val,runoff_ratio,1,xlstm,0.02952310679331705
val,runoff_ratio,2,random_forest,0.031228346259673252
val,runoff_ratio,3,xgboost,0.04419293795990695
val,fdc_slope,1,xlstm,0.1860296291784582
val,fdc_slope,2,random_forest,0.23187618156412554
val,fdc_slope,3,xgboost,0.36674623283307195
val,baseflow_index,1,xlstm,0.03922924951577405
val,baseflow_index,2,random_forest,0.08016356642054295
val,baseflow_index,3,xgboost,0.1042398004297024
val,hfd_mean,1,random_forest,5.25
val,hfd_mean,2,xlstm,6.0
val,hfd_mean,3,xgboost,7.375
val,q05,1,xlstm,0.0430305843098948
val,q05,2,random_forest,0.09276935190486675
val,q05,3,xgboost,0.13363827850956245
val,q95,1,xlstm,0.37426293325851656
val,q95,2,random_forest,0.42826259271826644
val,q95,3,xgboost,0.7653328788318645
val,high_q_freq,1,random_forest,0.0
val,high_q_freq,2,xgboost,0.0
val,high_q_freq,3,xlstm,0.0
val,high_q_dur,1,xlstm,0.488095238095238
val,high_q_dur,2,random_forest,0.9656723225688741
val,high_q_dur,3,xgboost,1.1283809966674416
val,low_q_freq,1,random_forest,0.0
val,low_q_freq,2,xgboost,0.0
val,low_q_freq,3,xlstm,0.0
val,low_q_dur,1,xlstm,0.9591450216450215
val,low_q_dur,2,xgboost,1.7606060606060607
val,low_q_dur,3,random_forest,1.8598243861401755
val,zero_q_freq,1,random_forest,0.0
val,zero_q_freq,2,xgboost,0.0
val,zero_q_freq,3,xlstm,0.0
