model,feature,importance
random_forest,arid_1,0.13317033502504808
random_forest,prec_sum_60,0.05572729435596848
random_forest,p_mean,0.054512059238988914
random_forest,arid_2,0.042831204724037654
random_forest,prec_sum_7,0.042188468507544125
random_forest,2m_temp_mean_mean_3,0.039137945107486895
random_forest,prec_sum_3,0.035631176571208796
random_forest,swe_delta_30,0.035071722004642744
random_forest,prec_sum_14,0.03437231644445443
random_forest,prec_sum_30,0.03368095812771253
random_forest,swe_delta_7,0.03238911351708706
random_forest,swe_mean_90,0.024864199494247403
random_forest,volsw_123_mean_1,0.01866159136320784
random_forest,2m_temp_mean_mean_7,0.017517552537502507
random_forest,2m_temp_mean_lag_1,0.016607451651187388
random_forest,volsw_123,0.01539224475962294
random_forest,strm_dens,0.015327940090986593
random_forest,surf_net_therm_rad_mean_mean_90,0.011674310142503912
random_forest,lo_prec_fr,0.011184315973457473
random_forest,swe_mean_60,0.009585065170393259
random_forest,lo_prec_du,0.009487973550370716
random_forest,prec_sum_90,0.007918346573745856
random_forest,volsw_4_mean_90,0.007837445293328497
random_forest,elev_std,0.006628919555841158
random_forest,surf_net_therm_rad_mean_mean_60,0.006120318199227941
random_forest,prec_lag_1,0.0060815969781541765
random_forest,lake_fra,0.0052609452647664435
random_forest,ndvi_min,0.004549651882330511
random_forest,sand_fra,0.004159628783235107
random_forest,hi_prec_fr,0.004100761149858632
random_forest,volsw_123_mean_3,0.0040668435889688135
random_forest,volsw_4_mean_60,0.004060971753453781
random_forest,surf_net_therm_rad_mean_mean_3,0.0038606725793185197
random_forest,grav_fra,0.003541800534968789
random_forest,mvert_dist,0.0035345333940439622
random_forest,surf_net_therm_rad_mean_mean_30,0.003398376059881233
random_forest,lai_low_veg,0.0033171698377757247
random_forest,2m_temp_min_mean_3,0.0033137417743299247
random_forest,swe_mean_30,0.0032045091429118177
random_forest,total_et_sum_90,0.003194998799268801
random_forest,surf_press_mean_90,0.003142032414143473
random_forest,mvert_ang,0.0030727540930689796
random_forest,glac_fra,0.0030702644049037412
random_forest,volsw_4_mean_30,0.003059723191843283
random_forest,surf_press_mean_7,0.00304501895438771
random_forest,surf_press_mean_30,0.003034453185164375
random_forest,surf_press_mean_60,0.002886849547262922
random_forest,surf_press_mean_14,0.0028663020781418513
random_forest,surf_net_therm_rad_mean_mean_7,0.002851948550426622
random_forest,10m_wind_u,0.0028390210469588883
