ID,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
3,s,"A,I",4309441,2668819,536.299,4.71,2.15,0.46,0.6,0.44,0.26,0.034,0.59,0.53,0.041,0.08,-12.7,0.02,0.699,0.69,1.001,234.656,6.156,0.0,0,1,0.699,1.001,0.46,impact_s,snow_influenced,humid,mixed_storage,mixed_perm,large
7,s,"A,E,I",4296647,2676356,1143.768,4.9,2.21,0.45,0.59,0.39,0.327,0.039,0.68,0.5,0.037,0.08,-12.2,0.051,0.727,0.653,1.665,234.375,0.469,0.594,0,1,0.727,1.665,0.45,impact_s,snow_influenced,humid,mixed_storage,mixed_perm,large
14,s,A,4302992,2698201,52.973,4.84,2.35,0.49,0.57,0.18,0.754,0.018,0.76,0.46,0.028,0.09,-11.8,0.073,0.402,0.281,2.882,216.972,13.222,70.667,0,1,0.402,2.882,0.49,impact_s,mixed_snow,humid,low_storage,high_perm,small
15,l,-,4302807,2703793,17.6,4.77,2.35,0.49,0.57,0.16,0.52,0.077,0.97,0.68,0.026,0.11,-13.1,0.183,0.418,0.311,2.662,205.714,11.343,60.627,0,0,0.418,2.662,0.49,near_natural,mixed_snow,humid,low_storage,low_perm,small
45,s,"A,E",4359982,2648854,2157.353,3.44,1.95,0.57,0.74,0.48,0.165,0.009,0.61,0.82,0.062,0.1,-12.0,0.068,0.669,0.518,1.858,251.111,0.056,26.917,0,1,0.669,1.858,0.57,impact_s,snow_influenced,moderate_aridity,mixed_storage,high_perm,large
49,s,E,4336120,2651021,98.219,4.13,1.9,0.46,0.57,0.52,0.008,0.006,0.57,0.54,0.03,0.08,-13.3,0.012,0.626,0.646,2.986,250.417,6.972,40.361,0,1,0.626,2.986,0.46,impact_s,snow_influenced,humid,low_storage,low_perm,small
50,s,E,4356900,2664090,385.249,4.25,1.94,0.46,0.6,0.5,0.143,0.015,0.57,0.55,0.036,0.08,-12.8,0.017,0.703,0.748,2.759,252.111,1.194,9.056,0,1,0.703,2.759,0.46,impact_s,snow_influenced,humid,mixed_storage,mixed_perm,medium
54,s,E,4385113,2662164,172.79,3.66,1.79,0.49,0.57,0.51,0.066,0.004,0.47,0.47,0.031,0.07,-14.1,0.01,0.703,0.757,4.086,268.639,1.556,67.5,0,1,0.703,4.086,0.49,impact_s,snow_influenced,humid,mixed_storage,low_perm,medium
64,s,"A,E,I",4402199,2688151,5284.983,3.88,1.98,0.51,0.68,0.46,0.223,0.016,0.59,0.64,0.062,0.09,-12.2,0.04,0.755,0.717,2.22,255.065,0.032,0.677,0,1,0.755,2.22,0.51,impact_s,snow_influenced,humid,high_storage,mixed_perm,large
75,l,-,4441387,2688232,74.252,4.49,2.07,0.46,0.62,0.34,0.364,0.023,0.71,0.55,0.048,0.09,-12.6,0.019,0.785,0.856,1.809,244.361,0.028,0.0,0,0,0.785,1.809,0.46,near_natural,snow_influenced,humid,high_storage,mixed_perm,small
