event_id,split,ID,model,event_type,season,climate_sensitivity,peak_q_obs,peak_q_sim,peak_ratio,peak_bias_pct,abs_peak_bias_pct,volume_q_obs,volume_q_sim,volume_ratio,volume_bias_pct,abs_volume_bias_pct,peak_timing_error_days,abs_peak_timing_error_days,threshold_hit
test_3_0001,test,3,random_forest,rainfall_runoff,MAM,mixed_rainfall_runoff,3.065811659192825,0.9040894363734072,0.29489399107985137,-70.51060085939707,70.51060085939707,5.173668161434977,4.32068857861228,0.8351305965048127,-16.486940330190084,16.486940330190084,0,0,0
test_3_0002,test,3,random_forest,snowmelt,MAM,warming_snow_transition,2.6744932735426006,0.930570116993322,0.34794259004164846,-65.20574095844489,65.20574095844489,5.529470852017937,4.25343235110563,0.7692295454969518,-23.077045432219908,23.077045432219908,1,1,0
test_3_0003,test,3,random_forest,long_rain_wet_soil,JJA,antecedent_wetness_storage,2.741811659192825,2.5355083438273973,0.9247565690376709,-7.524343059760672,7.524343059760672,7.977955156950672,10.309616601091443,1.2922630419672243,29.22630420925698,29.22630420925698,0,0,1
test_3_0004,test,3,random_forest,warm_season_short_rain,JJA,warm_season_rainfall_intensity,4.551336322869955,1.7407651704893754,0.3824734202479725,-61.75265795323119,61.75265795323119,15.851784753363228,9.41188151866166,0.5937427024468664,-40.62572974900492,40.62572974900492,0,0,0
test_3_0005,test,3,random_forest,snowmelt,JJA,warming_snow_transition,3.7586905829596415,2.606712192284688,0.6935160354536587,-30.648396428029116,30.648396428029116,29.89000896860986,27.59620645918048,0.9232585539615742,-7.674144600496986,7.674144600496986,-3,3,1
test_3_0006,test,3,random_forest,rain_on_snow,JJA,warming_snow_transition,5.66572197309417,2.925486221945128,0.5163483551295952,-48.36516446939048,48.36516446939048,24.397829596412556,20.20100242999314,0.827983585561869,-17.201641439714376,17.201641439714376,-2,2,1
test_3_0007,test,3,random_forest,storage_release,JJA,antecedent_wetness_storage,4.896807174887891,1.7742108108861716,0.3623199254449857,-63.76800743507996,63.76800743507996,19.09953363228699,10.307530923358664,0.5396744821765974,-46.03255177710453,46.03255177710453,-2,2,0
test_3_0008,test,3,random_forest,rainfall_runoff,SON,mixed_rainfall_runoff,4.435426008968609,1.2863868656991184,0.29002554947551085,-70.99744502990316,70.99744502990316,9.401650224215246,5.569176310827317,0.5923615724280802,-40.76384274655555,40.76384274655555,1,1,0
test_3_0009,test,3,random_forest,snowmelt,MAM,warming_snow_transition,2.7518206278026898,2.4580429637856565,0.8932424366827807,-10.67575629538235,10.67575629538235,16.26134529147982,17.383277269609167,1.0689937982959006,6.8993798357396185,6.8993798357396185,2,2,1
test_3_0010,test,3,random_forest,rain_on_snow,JJA,warming_snow_transition,3.5052376681614352,3.0438059667470374,0.8683593679042063,-13.164063181050631,13.164063181050631,10.85295067264574,13.545087598210966,1.2480557597209534,24.805575981309413,24.805575981309413,0,0,1
test_3_0011,test,3,random_forest,rain_on_snow,JJA,warming_snow_transition,10.879426008968608,2.986445784046673,0.2745039840622337,-72.54960158458498,72.54960158458498,77.48911210762333,52.081148082283455,0.6721092378665626,-32.78907621205323,32.78907621205323,2,2,1
test_3_0012,test,3,random_forest,warm_season_short_rain,JJA,warm_season_rainfall_intensity,3.3368609865470855,2.4946675562412133,0.7476090749812848,-25.23909247190323,25.23909247190323,13.259461883408072,14.548874402084714,1.0972447093944946,9.724470946991252,9.724470946991252,1,1,1
test_3_0013,test,3,random_forest,warm_season_short_rain,JJA,warm_season_rainfall_intensity,6.374260089686097,4.112126881244178,0.6451143854723955,-35.48856143707235,35.48856143707235,11.178403587443945,13.109424150553593,1.1727456471607365,17.274564725019466,17.274564725019466,1,1,1
test_3_0014,test,3,random_forest,rainfall_runoff,SON,mixed_rainfall_runoff,6.5264932735426,0.7286841644253345,0.11165018238318851,-88.83498174635899,88.83498174635899,20.587802690582954,5.173331979028324,0.2512814046514722,-74.87185952999553,74.87185952999553,4,4,0
test_3_0015,test,3,random_forest,rainfall_runoff,DJF,mixed_rainfall_runoff,3.115533632286995,0.8485833634152994,0.2723717549856828,-72.76282446933449,72.76282446933449,5.39451121076233,3.4418982076511377,0.6380370848328826,-36.19629149817438,36.19629149817438,-2,2,0
