split,event_type,model,events,basins,median_peak_ratio,median_peak_bias_pct,median_abs_peak_bias_pct,median_volume_ratio,median_volume_bias_pct,median_abs_volume_bias_pct,median_peak_timing_error_days,median_abs_peak_timing_error_days,hit_rate
test,cool_season_rain,random_forest,143,58,0.5029378341754277,-49.706216565785056,50.8817304905691,0.6441540459690146,-35.584595398827496,36.0189369271995,0.0,0.0,27.27272727272727
test,cool_season_rain,transformer,133,56,0.45463997511349863,-54.53600243604967,56.16936890971519,0.29396562709138496,-70.60343728878149,70.60343728878149,0.0,1.0,26.31578947368421
test,cool_season_rain,xgboost,143,58,0.34121014552669177,-65.87898544119491,66.03977041224141,0.508622753804864,-49.137724614363925,49.29490218119862,0.0,0.0,13.286713286713287
test,long_rain_wet_soil,random_forest,461,94,0.6235058875049853,-37.64941124055113,39.28723763310497,0.8058545181537168,-19.41454818017264,23.778496023376558,0.0,0.0,53.14533622559653
test,long_rain_wet_soil,transformer,438,92,0.5980735730811955,-40.19264257551943,42.288442525316356,0.3382562400728454,-66.17437598485262,66.17437598485262,0.0,1.0,44.52054794520548
test,long_rain_wet_soil,xgboost,461,94,0.5444777057684057,-45.55222941282186,47.81095845165203,0.6864696249531613,-31.353037502078443,33.1365668127706,0.0,0.0,36.8763557483731
test,rain_on_snow,random_forest,243,87,0.6743507404828954,-32.564925931881945,32.773076037274606,0.8782335265173757,-12.1766473446964,17.518010483431038,0.0,0.0,52.2633744855967
test,rain_on_snow,transformer,236,86,0.748441352822621,-25.155864704851822,31.62337003536372,0.40797171312692226,-59.202828684857494,59.37157796166302,0.0,1.0,58.47457627118644
test,rain_on_snow,xgboost,243,87,0.579375979805293,-42.06240199843341,42.119160204021924,0.7443977569515791,-25.56022430254137,27.27217516449215,0.0,0.0,32.098765432098766
test,rainfall_runoff,random_forest,137,57,0.33113840409608375,-66.88615952600131,66.88615952600131,0.47688854897456406,-52.31114509247361,52.31114509247361,0.0,1.0,2.9197080291970803
test,rainfall_runoff,transformer,130,55,0.33127709719256004,-66.872290260526,66.872290260526,0.20373519235266596,-79.62648075859198,79.62648075859198,0.5,1.0,3.076923076923077
test,rainfall_runoff,xgboost,137,57,0.2563648148684405,-74.36351850390724,74.36351850390724,0.42159248682679484,-57.84075130542345,57.84075130542345,0.0,1.0,2.9197080291970803
