split,model,metric,n_basins,median,ci_low,ci_high,ci_level,method
spatial_test,random_forest,kge,50,0.46778918227197985,0.3984751654875129,0.5579600560240778,0.95,basin_bootstrap_median
spatial_test,random_forest,nse,50,0.37654327643450775,0.3237268438935538,0.4804831116934112,0.95,basin_bootstrap_median
spatial_test,random_forest,log_nse,50,0.48963645731290406,0.39324448971666426,0.5530003049974064,0.95,basin_bootstrap_median
spatial_test,random_forest,pbias,50,3.510181981765881,-10.400925562025272,10.647298224824603,0.95,basin_bootstrap_median
spatial_test,random_forest,rmse,50,0.8916761538569205,0.6862439905749174,1.128662067315689,0.95,basin_bootstrap_median
spatial_test,random_forest,mae,50,0.5760958128119338,0.38611624186127474,0.7025982495571834,0.95,basin_bootstrap_median
spatial_test,transformer,kge,50,0.5604720747210159,0.4540298961437639,0.6520936164922128,0.95,basin_bootstrap_median
spatial_test,transformer,nse,50,0.4379090088527583,0.3723674999082388,0.48643326632934936,0.95,basin_bootstrap_median
spatial_test,transformer,log_nse,50,0.4721404545701496,0.3408130448365423,0.5444038944905962,0.95,basin_bootstrap_median
spatial_test,transformer,pbias,50,-4.470889840051052,-17.22056489175787,2.8992605521761563,0.95,basin_bootstrap_median
spatial_test,transformer,rmse,50,0.8364879654072528,0.7060019281046124,1.0389688072723413,0.95,basin_bootstrap_median
spatial_test,transformer,mae,50,0.5537067771465801,0.4020779893379861,0.7017783724154062,0.95,basin_bootstrap_median
spatial_test,xgboost,kge,50,0.4264011803352672,0.3430131193824545,0.49635035823608264,0.95,basin_bootstrap_median
spatial_test,xgboost,nse,50,0.350843945148302,0.3137627779543652,0.411867786238286,0.95,basin_bootstrap_median
spatial_test,xgboost,log_nse,50,0.43490156335211644,0.3108301598775056,0.5091904860348658,0.95,basin_bootstrap_median
spatial_test,xgboost,pbias,50,-0.09655915935836806,-16.358525199715487,5.171678907616706,0.95,basin_bootstrap_median
spatial_test,xgboost,rmse,50,0.8744733125962972,0.6919420254162783,1.1844499489686948,0.95,basin_bootstrap_median
spatial_test,xgboost,mae,50,0.5787572328583642,0.40213261357403296,0.6756652367709728,0.95,basin_bootstrap_median
test,random_forest,kge,100,0.6065494397741467,0.5539668950248993,0.6393497184868124,0.95,basin_bootstrap_median
test,random_forest,nse,100,0.5550272358446711,0.5079645930736272,0.5842918823374345,0.95,basin_bootstrap_median
test,random_forest,log_nse,100,0.6109042201256856,0.5681606612919979,0.661266007971366,0.95,basin_bootstrap_median
test,random_forest,pbias,100,1.8612131283247475,-2.5724722286954416,4.563179679359703,0.95,basin_bootstrap_median
test,random_forest,rmse,100,0.7643231954183751,0.6719489109614539,0.8925929290311565,0.95,basin_bootstrap_median
test,random_forest,mae,100,0.42330097504596104,0.3731946145206463,0.4837072444803485,0.95,basin_bootstrap_median
test,transformer,kge,100,0.7189811988958057,0.6542935753758781,0.763024684636038,0.95,basin_bootstrap_median
test,transformer,nse,100,0.6146434385660459,0.5479725396974698,0.6475833529689015,0.95,basin_bootstrap_median
test,transformer,log_nse,100,0.6821961126221681,0.638509070059417,0.7198280479347406,0.95,basin_bootstrap_median
test,transformer,pbias,100,-2.611315864360564,-4.014401439862713,-0.9291468748293052,0.95,basin_bootstrap_median
test,transformer,rmse,100,0.7275339507084657,0.6308789552381933,0.8214261693005288,0.95,basin_bootstrap_median
test,transformer,mae,100,0.39535407069411443,0.3641029030689808,0.4406032939813419,0.95,basin_bootstrap_median
test,xgboost,kge,100,0.4849580855786487,0.4474386768956859,0.5214179751786006,0.95,basin_bootstrap_median
test,xgboost,nse,100,0.46923157548647954,0.3929623343754883,0.5007150863743012,0.95,basin_bootstrap_median
test,xgboost,log_nse,100,0.5271050211202604,0.4896863304397834,0.5689460576872007,0.95,basin_bootstrap_median
test,xgboost,pbias,100,-4.9596381921802095,-8.852352601775225,-1.0256270460922674,0.95,basin_bootstrap_median
test,xgboost,rmse,100,0.8299125390781517,0.7388101994097115,1.0029466295939533,0.95,basin_bootstrap_median
test,xgboost,mae,100,0.4762601532376769,0.41283965885754975,0.5583284484683346,0.95,basin_bootstrap_median
train,transformer,kge,100,0.811079786153609,0.7932681327394502,0.840536567187558,0.95,basin_bootstrap_median
train,transformer,nse,100,0.7671911016456161,0.7377909343368693,0.8117855550637132,0.95,basin_bootstrap_median
train,transformer,log_nse,100,0.7999658336720374,0.7772559631158399,0.8260803854998018,0.95,basin_bootstrap_median
train,transformer,pbias,100,-0.8023884326633781,-1.8318948792028116,-0.0218914352894298,0.95,basin_bootstrap_median
train,transformer,rmse,100,0.6410658201566977,0.5569489489166538,0.7716784086807611,0.95,basin_bootstrap_median
train,transformer,mae,100,0.3382726156319522,0.2737834973390531,0.4090313692546188,0.95,basin_bootstrap_median
val,random_forest,kge,100,0.6037151927902886,0.5629199250266947,0.6574756643683672,0.95,basin_bootstrap_median
val,random_forest,nse,100,0.5693424897925399,0.5414235429631826,0.6126861267701711,0.95,basin_bootstrap_median
val,random_forest,log_nse,100,0.6452338597284706,0.6248055936906005,0.6819324951379993,0.95,basin_bootstrap_median
val,random_forest,pbias,100,-2.262520512868127,-3.9423755840428454,0.25785631475494863,0.95,basin_bootstrap_median
val,random_forest,rmse,100,0.8116975295454172,0.7125859171768611,0.9634947833225234,0.95,basin_bootstrap_median
val,random_forest,mae,100,0.4411727582339038,0.3783142998145931,0.5038902451475168,0.95,basin_bootstrap_median
val,transformer,kge,100,0.7295124060280125,0.6873510737585423,0.7646656274954375,0.95,basin_bootstrap_median
val,transformer,nse,100,0.6404901940825862,0.5635629853249878,0.6986931404524211,0.95,basin_bootstrap_median
val,transformer,log_nse,100,0.718410960555157,0.6846440612769151,0.7523760386770293,0.95,basin_bootstrap_median
val,transformer,pbias,100,-0.7245511735909281,-3.235887468262277,0.7900010922970437,0.95,basin_bootstrap_median
val,transformer,rmse,100,0.7756736046137856,0.6871841652542172,0.8598649871210932,0.95,basin_bootstrap_median
val,transformer,mae,100,0.4027034371855315,0.3613478826867314,0.48299645846556605,0.95,basin_bootstrap_median
val,xgboost,kge,100,0.507944514629051,0.4548690917493814,0.5476831843059189,0.95,basin_bootstrap_median
val,xgboost,nse,100,0.4819790653245727,0.4392529247605991,0.5178237164311914,0.95,basin_bootstrap_median
val,xgboost,log_nse,100,0.590192024690877,0.5673501223350114,0.611944089261819,0.95,basin_bootstrap_median
val,xgboost,pbias,100,-8.395154413900515,-11.55034390462514,-6.007286338339306,0.95,basin_bootstrap_median
val,xgboost,rmse,100,0.9109699515293468,0.7874133645415862,1.0792639670730297,0.95,basin_bootstrap_median
val,xgboost,mae,100,0.5004788559768665,0.4126082560252118,0.5635336198692857,0.95,basin_bootstrap_median
