split,attribute,target,spearman_rho,n
val,bfi,kge_xgb,0.6386166841324867,100
test,bfi,kge_xgb,0.519637789024427,100
val,bfi,pbias_xgb,0.5071200114889747,100
test,area_calc,kge_rf,0.5054905490549054,100
val,frac_snow,kge_rf,0.49622879392532704,100
val,bfi,pbias_rf,0.4873352020285787,100
test,area_calc,kge_xgb,0.4779357935793579,100
test,frac_snow,kge_rf,0.47018358644205005,100
train,aridity,pbias_transformer,-0.4609751039248588,100
test,frac_snow,kge_xgb,0.4529883421935752,100
val,bfi,kge_rf,0.4314972729933996,100
spatial_test,bfi,kge_xgb,0.42370589710037576,49
val,bfi,sequence_gain_vs_tree,-0.4225319999167143,100
val,bfi,tree_advantage,0.4225319999167143,100
test,frac_snow,kge_transformer,0.42100110236866944,100
spatial_test,forest_fra,transformer_gain_vs_rf,0.4190078298153346,50
spatial_test,forest_fra,tree_advantage,-0.413725209611359,50
spatial_test,forest_fra,sequence_gain_vs_tree,0.413725209611359,50
test,bfi,tree_advantage,0.4078239113551642,100
test,bfi,sequence_gain_vs_tree,-0.4078239113551642,100
train,area_calc,kge_transformer,0.4052925292529252,100
val,geol_poros,kge_transformer,-0.4051913262635204,100
val,geol_poros,kge_rf,-0.4044404713857065,100
val,frac_snow,kge_transformer,0.39970231101267945,100
test,area_calc,kge_transformer,0.3946594659465946,100
spatial_test,geol_poros,kge_xgb,-0.3923492274436691,50
val,area_calc,kge_rf,0.39215121512151213,100
val,area_calc,kge_xgb,0.39063906390639064,100
test,bfi,transformer_gain_vs_rf,-0.3895093106657105,100
test,aridity,kge_xgb,-0.3882713998688823,100
test,aridity,kge_rf,-0.38094099337405596,100
val,bfi,transformer_gain_vs_rf,-0.38083807934321356,100
val,aridity,kge_rf,-0.3780232394375403,100
test,aridity,kge_transformer,-0.37403083950383065,100
val,aridity,kge_transformer,-0.3715813670632989,100
spatial_test,soil_tawc,tree_advantage,0.36881684698687517,50
spatial_test,soil_tawc,sequence_gain_vs_tree,-0.36881684698687517,50
spatial_test,area_calc,kge_xgb,0.3682593037214886,50
test,area_calc,pbias_xgb,0.36636063606360636,100
spatial_test,bfi,kge_rf,0.3626808184717571,49
spatial_test,geol_poros,kge_rf,-0.3572665552200191,50
val,frac_snow,kge_xgb,0.3556808034625133,100
test,soil_condu,kge_transformer,-0.3532850056876654,100
spatial_test,soil_condu,pbias_rf,0.35241571780632164,50
spatial_test,soil_tawc,transformer_gain_vs_rf,-0.35076558285800696,50
test,area_calc,pbias_rf,0.348094809480948,100
val,soil_condu,kge_rf,-0.34508149621297474,100
val,fdc_slope,pbias_xgb,-0.3448375182659333,100
test,soil_condu,kge_rf,-0.34422933941311656,100
val,fdc_slope,pbias_rf,-0.3427132994713879,100
test,bfi,kge_rf,0.3414124808734526,100
test,geol_poros,kge_rf,-0.3407739845861059,100
test,geol_poros,kge_xgb,-0.3398549382156617,100
spatial_test,area_calc,kge_rf,0.3264825930372149,50
spatial_test,soil_condu,pbias_xgb,0.3236960940330618,50
test,soil_condu,kge_xgb,-0.32366355523625867,100
val,area_calc,transformer_gain_vs_rf,-0.32021602160216023,100
val,area_calc,sequence_gain_vs_tree,-0.31032703270327033,100
val,area_calc,tree_advantage,0.31032703270327033,100
spatial_test,fdc_slope,kge_rf,-0.3080690834952308,49
test,geol_poros,kge_transformer,-0.29856392677491694,100
val,is_impacted,tree_advantage,0.29816626415699493,100
val,is_impacted,sequence_gain_vs_tree,-0.29816626415699493,100
val,is_impacted,transformer_gain_vs_rf,-0.29608603440706244,100
spatial_test,area_calc,pbias_xgb,0.29594237695078035,50
spatial_test,geol_poros,kge_transformer,-0.2957997911459804,50
val,geol_poros,kge_xgb,-0.2928694433815759,100
test,geol_poros,pbias_transformer,-0.2827178854335313,100
spatial_test,fdc_slope,kge_xgb,-0.2816908595523633,49
val,aridity,kge_xgb,-0.2793659340079894,100
train,soil_condu,pbias_transformer,-0.2778211200664255,100
test,forest_fra,transformer_gain_vs_rf,0.2769806837655605,100
test,fdc_slope,kge_transformer,0.2762084494715386,100
val,soil_tawc,kge_transformer,-0.275937884162213,100
spatial_test,aridity,kge_transformer,-0.27488472976656947,50
val,urban_fra,kge_transformer,-0.2744257880513204,100
train,frac_snow,kge_transformer,0.2741265597766998,100
train,aridity,kge_transformer,-0.271711332631328,100
val,soil_condu,kge_transformer,-0.2693715653185364,100
spatial_test,is_impacted,kge_xgb,0.2663093613876402,50
test,forest_fra,sequence_gain_vs_tree,0.26409116279999817,100
test,forest_fra,tree_advantage,-0.26409116279999817,100
val,fdc_slope,kge_transformer,0.2596467436157609,100
spatial_test,bfi,sequence_gain_vs_tree,-0.2539990312819931,49
spatial_test,bfi,tree_advantage,0.2539990312819931,49
test,fdc_slope,pbias_transformer,0.2528960482941124,100
val,area_calc,pbias_xgb,0.25219321932193217,100
val,bfi,pbias_transformer,0.24872331893069327,100
spatial_test,soil_condu,tree_advantage,0.24858323185684392,50
spatial_test,soil_condu,sequence_gain_vs_tree,-0.24858323185684392,50
val,forest_fra,transformer_gain_vs_rf,0.24824929345684904,100
val,area_calc,pbias_rf,0.24782478247824777,100
spatial_test,aridity,tree_advantage,0.2468774250734709,50
spatial_test,aridity,sequence_gain_vs_tree,-0.2468774250734709,50
spatial_test,frac_snow,sequence_gain_vs_tree,0.24542887191871246,50
spatial_test,frac_snow,tree_advantage,-0.24542887191871246,50
spatial_test,forest_fra,pbias_transformer,0.24516160128450235,50
val,soil_condu,kge_xgb,-0.2442929507649649,100
val,aridity,pbias_transformer,-0.24288800619262094,100
spatial_test,frac_snow,kge_transformer,0.24263772004198986,50
test,aridity,pbias_xgb,0.240450540969935,100
test,forest_fra,kge_rf,-0.2380300875889009,100
test,area_calc,transformer_gain_vs_rf,-0.23542754275427538,100
val,geol_perme,pbias_transformer,0.23429250714755984,100
test,urban_fra,pbias_xgb,0.23306680196762872,100
train,fdc_slope,kge_transformer,0.2324399413150015,100
test,urban_fra,pbias_rf,0.23210021802809117,100
test,aridity,pbias_rf,0.23146313841239605,100
spatial_test,is_impacted,pbias_xgb,0.2302466353663973,50
test,area_calc,sequence_gain_vs_tree,-0.22905490549054902,100
