split,model,zone,zone_value,basins,median_kge,median_nse,median_log_nse,median_pbias
spatial_test,random_forest,snow_class,low_snow,15,0.3984751654875129,0.3114971941016011,0.3442695491526422,5.538085275408889
spatial_test,random_forest,snow_class,mixed_snow,20,0.479382934101192,0.43837741707689054,0.5154925950947521,2.8892786706523887
spatial_test,random_forest,snow_class,snow_influenced,15,0.5235106669123617,0.5046355668806426,0.5497646753506296,3.698004646237488
spatial_test,transformer,snow_class,low_snow,15,0.4140700969684142,0.250256389290943,0.264107638958024,2.8992605521761563
spatial_test,transformer,snow_class,mixed_snow,20,0.551758002608807,0.4258182659539175,0.4711153369477812,-3.3151101075630716
spatial_test,transformer,snow_class,snow_influenced,15,0.6531088664585158,0.5425308045595874,0.6117657785727676,-12.810751989868598
spatial_test,xgboost,snow_class,low_snow,15,0.2954296067978016,0.2887499924237859,0.2939705765627953,-0.9728436521468956
spatial_test,xgboost,snow_class,mixed_snow,20,0.4057986447321308,0.3994198207621006,0.4581404540485676,0.34562438564933273
spatial_test,xgboost,snow_class,snow_influenced,15,0.4787860995716956,0.4025661342619405,0.515716687527729,1.085977645033241
test,random_forest,snow_class,low_snow,41,0.5390718646406965,0.4463781878328567,0.5499860279205395,6.082915193515524
test,random_forest,snow_class,mixed_snow,24,0.5498011035648258,0.5777905601176321,0.6508291112093744,-3.7565519957251166
test,random_forest,snow_class,snow_influenced,35,0.7507086838027531,0.6686600432293117,0.73891262962602,2.23418204261869
test,transformer,snow_class,low_snow,41,0.5954272994377237,0.4573586567597868,0.6163757345657269,-4.29672285215592
test,transformer,snow_class,mixed_snow,24,0.6702780599591436,0.658902881677218,0.7239845433299885,-5.256314604140483
test,transformer,snow_class,snow_influenced,35,0.7996346778795076,0.720549544794937,0.7995967255998122,-0.2941705760959729
test,xgboost,snow_class,low_snow,41,0.4161089804026218,0.3461706812221266,0.4440906443328831,-2.928605461503349
test,xgboost,snow_class,mixed_snow,24,0.4842573419771445,0.4716091193828425,0.5649546257175797,-9.824716767947677
test,xgboost,snow_class,snow_influenced,35,0.6023840582318953,0.5522925808948191,0.6596801288663344,-4.84643637876585
train,transformer,snow_class,low_snow,41,0.7889180294039838,0.742116802162365,0.7607451473887314,-1.6068169752585904
train,transformer,snow_class,mixed_snow,24,0.8099592309714788,0.7647508518481958,0.7888671405808904,-1.831765956634163
train,transformer,snow_class,snow_influenced,35,0.8734809178996785,0.8309430752833615,0.859593669669253,1.3775268424466722
val,random_forest,snow_class,low_snow,41,0.4509344826687175,0.4726010953690346,0.6226906964572043,-3.31647913838842
val,random_forest,snow_class,mixed_snow,24,0.6025264467453545,0.5545816219932719,0.6352520145082134,-2.3545137862672596
val,random_forest,snow_class,snow_influenced,35,0.7240091040620132,0.6498751697094407,0.7386484461335725,-0.898986217973177
val,transformer,snow_class,low_snow,41,0.6258461566036623,0.4971420697436542,0.6577438026724005,-2.9670387728807333
val,transformer,snow_class,mixed_snow,24,0.7231887887039389,0.6485743990051767,0.7058637831660275,-0.5413947835905202
