split,signature,rank,model,median_abs_error
spatial_test,q_mean,1,xgboost,0.20590441897950768
spatial_test,q_mean,2,random_forest,0.25511806864817776
spatial_test,q_mean,3,transformer,0.3529674436063186
spatial_test,runoff_ratio,1,random_forest,0.07288397191474161
spatial_test,runoff_ratio,2,xgboost,0.07383384505992605
spatial_test,runoff_ratio,3,transformer,0.08978272169915211
spatial_test,fdc_slope,1,transformer,0.33407603786887397
spatial_test,fdc_slope,2,random_forest,0.46258270428646453
spatial_test,fdc_slope,3,xgboost,0.5153766727888213
spatial_test,baseflow_index,1,transformer,0.07647317796308395
spatial_test,baseflow_index,2,random_forest,0.0825025397192238
spatial_test,baseflow_index,3,xgboost,0.0935585725399453
spatial_test,hfd_mean,1,random_forest,5.5
spatial_test,hfd_mean,2,xgboost,6.875
spatial_test,hfd_mean,3,transformer,9.5
spatial_test,q05,1,transformer,0.20280852632616309
spatial_test,q05,2,xgboost,0.20646102915524528
spatial_test,q05,3,random_forest,0.21470739165657982
spatial_test,q95,1,random_forest,0.6287483465432517
spatial_test,q95,2,xgboost,0.688669641743888
spatial_test,q95,3,transformer,0.690238431270198
spatial_test,high_q_freq,1,random_forest,0.0
spatial_test,high_q_freq,2,transformer,0.0
spatial_test,high_q_freq,3,xgboost,0.0
spatial_test,high_q_dur,1,random_forest,0.720779220779221
spatial_test,high_q_dur,2,transformer,0.7582282913165262
spatial_test,high_q_dur,3,xgboost,0.841488903253609
spatial_test,low_q_freq,1,random_forest,0.0
spatial_test,low_q_freq,2,transformer,0.0
spatial_test,low_q_freq,3,xgboost,0.0
spatial_test,low_q_dur,1,xgboost,1.8924242424242426
spatial_test,low_q_dur,2,transformer,1.9833333333333334
spatial_test,low_q_dur,3,random_forest,2.1344696969696972
spatial_test,zero_q_freq,1,random_forest,0.0
spatial_test,zero_q_freq,2,transformer,0.0
spatial_test,zero_q_freq,3,xgboost,0.0
test,q_mean,1,transformer,0.07710595257321165
test,q_mean,2,random_forest,0.09730384583269319
test,q_mean,3,xgboost,0.12805431993684
test,runoff_ratio,1,transformer,0.022996362748694148
test,runoff_ratio,2,random_forest,0.0306175206620396
test,runoff_ratio,3,xgboost,0.043392305417687904
test,fdc_slope,1,transformer,0.22149994159242764
test,fdc_slope,2,random_forest,0.27789755085263096
test,fdc_slope,3,xgboost,0.35568672317827754
test,baseflow_index,1,transformer,0.04190117432934595
test,baseflow_index,2,random_forest,0.07016563654950415
test,baseflow_index,3,xgboost,0.0931592892199435
test,hfd_mean,1,random_forest,6.5
test,hfd_mean,2,xgboost,8.0
test,hfd_mean,3,transformer,
test,q05,1,transformer,0.04934786508662455
test,q05,2,random_forest,0.1192877567846283
test,q05,3,xgboost,0.1750772151680322
test,q95,1,transformer,0.2627716879211812
test,q95,2,random_forest,0.3024328408260048
test,q95,3,xgboost,0.5859851991780044
test,high_q_freq,1,random_forest,0.0
test,high_q_freq,2,transformer,0.0
test,high_q_freq,3,xgboost,0.0
test,high_q_dur,1,transformer,0.2822021116138762
test,high_q_dur,2,xgboost,0.8256769374416435
test,high_q_dur,3,random_forest,0.8281137992831545
test,low_q_freq,1,random_forest,0.0
test,low_q_freq,2,transformer,0.0
test,low_q_freq,3,xgboost,0.0003422313483915
test,low_q_dur,1,transformer,1.0583236208236209
test,low_q_dur,2,xgboost,1.8716666666666666
test,low_q_dur,3,random_forest,2.137445887445888
test,zero_q_freq,1,random_forest,0.0
test,zero_q_freq,2,transformer,0.0
test,zero_q_freq,3,xgboost,0.0
train,q_mean,1,transformer,0.02659199897230185
train,runoff_ratio,1,transformer,0.0096628957247773
train,fdc_slope,1,transformer,0.17601354963212018
train,baseflow_index,1,transformer,0.03734320804885165
train,hfd_mean,1,transformer,
train,q05,1,transformer,0.0582319577215027
train,q95,1,transformer,0.2053089332102513
train,high_q_freq,1,transformer,0.0
train,high_q_dur,1,transformer,0.18055555555555544
train,low_q_freq,1,transformer,0.0
train,low_q_dur,1,transformer,0.8071428571428572
train,zero_q_freq,1,transformer,0.0
val,q_mean,1,transformer,0.08582339919098805
val,q_mean,2,random_forest,0.0968916885575723
val,q_mean,3,xgboost,0.1372673599565219
val,runoff_ratio,1,transformer,0.0278770471187008
val,runoff_ratio,2,random_forest,0.031228346259673252
val,runoff_ratio,3,xgboost,0.04419293795990695
val,fdc_slope,1,transformer,0.20208398780682965
val,fdc_slope,2,random_forest,0.23187618156412548
val,fdc_slope,3,xgboost,0.36674623283307195
val,baseflow_index,1,transformer,0.0444006221264429
val,baseflow_index,2,random_forest,0.0801635664205429
val,baseflow_index,3,xgboost,0.1042398004297024
val,hfd_mean,1,random_forest,5.25
val,hfd_mean,2,xgboost,7.375
val,hfd_mean,3,transformer,8.0
val,q05,1,transformer,0.05621656964765685
val,q05,2,random_forest,0.09276935190486654
val,q05,3,xgboost,0.13363827850956245
val,q95,1,transformer,0.28411183919825556
val,q95,2,random_forest,0.42826259271826644
val,q95,3,xgboost,0.7653328788318645
val,high_q_freq,1,random_forest,0.0
val,high_q_freq,2,transformer,0.0
val,high_q_freq,3,xgboost,0.0
val,high_q_dur,1,transformer,0.5166666666666666
val,high_q_dur,2,random_forest,0.9656723225688741
val,high_q_dur,3,xgboost,1.1283809966674416
val,low_q_freq,1,random_forest,0.0
val,low_q_freq,2,transformer,0.0
val,low_q_freq,3,xgboost,0.0
val,low_q_dur,1,transformer,1.5499999999999998
val,low_q_dur,2,xgboost,1.7606060606060607
val,low_q_dur,3,random_forest,1.8598243861401755
val,zero_q_freq,1,random_forest,0.0
val,zero_q_freq,2,transformer,0.0
val,zero_q_freq,3,xgboost,0.0
