model,feature,importance
random_forest,arid_1,0.13306778485607237
random_forest,p_mean,0.10117941194787647
random_forest,prec_sum_30,0.051159152868354006
random_forest,arid_2,0.04762289121261377
random_forest,swe_delta_30,0.04373313581061172
random_forest,2m_temp_mean_mean_3,0.03431152832572231
random_forest,prec_sum_7,0.03334219779053011
random_forest,prec_sum_3,0.033109297756082325
random_forest,prec_sum_14,0.030340138653876587
random_forest,swe_delta_7,0.02654541062638989
random_forest,volsw_123,0.022120281154504484
random_forest,swe_mean_90,0.021189440835328914
random_forest,prec_sum_60,0.02063010921091844
random_forest,volsw_123_mean_1,0.020467748984166364
random_forest,lo_prec_fr,0.019443251093960546
random_forest,2m_temp_mean_mean_7,0.018827276783444653
random_forest,strm_dens,0.014364888095266624
random_forest,surf_net_therm_rad_mean_mean_90,0.011836754968459592
random_forest,lo_prec_du,0.009678251690879911
random_forest,2m_temp_mean_lag_1,0.009132907770418764
random_forest,prec_sum_90,0.008554298944483176
random_forest,volsw_4_mean_90,0.00801772487705617
random_forest,ndvi_min,0.007534343079540741
random_forest,swe_mean_60,0.0065829993568932745
random_forest,elev_std,0.005818296936340082
random_forest,surf_net_therm_rad_mean_mean_60,0.005789523571738729
random_forest,prec_lag_1,0.005387890556118502
random_forest,lake_fra,0.005275427766276801
random_forest,volsw_123_mean_3,0.004578016049665651
random_forest,surf_press_mean_60,0.004409998279980985
random_forest,volsw_4_mean_60,0.004078713057713782
random_forest,surf_press_mean_90,0.003943677106467307
random_forest,sand_fra,0.0038833438871684976
random_forest,hi_prec_fr,0.0037700373774521355
random_forest,2m_temp_min_mean_7,0.003403922489499441
random_forest,forest_fra,0.0033517733626682467
random_forest,2m_temp_min_mean_3,0.00333334554565574
random_forest,glac_fra,0.003188982492159884
random_forest,2m_temp_max_mean_90,0.003164485205181072
random_forest,surf_net_therm_rad_mean_mean_30,0.0031185636130269365
random_forest,lai_low_veg,0.003007707263622224
random_forest,mvert_ang,0.0029426909477297276
random_forest,surf_press_mean_30,0.0029381581454566673
random_forest,grav_fra,0.0029273868012033607
random_forest,volsw_4_mean_30,0.00287590290742835
random_forest,surf_net_therm_rad_mean_mean_3,0.002874291924475168
random_forest,swe_mean_30,0.002793795312403404
random_forest,lai_diff,0.002734360140229662
random_forest,mvert_dist,0.002702290006673013
random_forest,total_et_sum_90,0.002692344503755236
