split,event_type,model,events,basins,median_peak_ratio,median_peak_bias_pct,median_abs_peak_bias_pct,median_volume_ratio,median_volume_bias_pct,median_abs_volume_bias_pct,median_peak_timing_error_days,median_abs_peak_timing_error_days,hit_rate
test,cool_season_rain,random_forest,143,58,0.5029378341754277,-49.706216565785056,50.88173049056909,0.6441540459690146,-35.584595398827496,36.0189369271995,0.0,0.0,27.27272727272727
test,cool_season_rain,xgboost,143,58,0.34121014552669177,-65.87898544119491,66.03977041224141,0.508622753804864,-49.137724614363925,49.29490218119862,0.0,0.0,13.286713286713287
test,cool_season_rain,xlstm,133,56,0.42521445960447285,-57.47855401815935,57.513160185657554,0.2799107728375531,-72.0089227049095,72.0089227049095,0.0,1.0,17.293233082706767
test,long_rain_wet_soil,random_forest,461,94,0.6235058875049853,-37.64941124055113,39.28723763310497,0.8058545181537168,-19.41454818017264,23.778496023376587,0.0,0.0,53.14533622559653
test,long_rain_wet_soil,xgboost,461,94,0.5444777057684057,-45.55222941282186,47.81095845165203,0.6864696249531613,-31.353037502078443,33.1365668127706,0.0,0.0,36.8763557483731
test,long_rain_wet_soil,xlstm,438,92,0.5200866986282293,-47.991330093453215,48.04958216666152,0.316560187147063,-68.34398128365007,68.34398128365007,0.0,1.0,34.93150684931507
test,rain_on_snow,random_forest,243,87,0.674350740482895,-32.564925931881994,32.77307603727464,0.8782335265173757,-12.1766473446964,17.518010483431024,0.0,0.0,52.2633744855967
test,rain_on_snow,xgboost,243,87,0.579375979805293,-42.06240199843341,42.119160204021924,0.7443977569515791,-25.56022430254137,27.27217516449215,0.0,0.0,32.098765432098766
test,rain_on_snow,xlstm,236,86,0.694469360944316,-30.553063890830323,33.26787495660996,0.3835360708533698,-61.64639290656099,61.64639290656099,0.0,1.0,54.23728813559322
test,rainfall_runoff,random_forest,137,57,0.33113840409608375,-66.88615952600131,66.88615952600131,0.47688854897456406,-52.31114509247361,52.31114509247361,0.0,1.0,2.9197080291970803
test,rainfall_runoff,xgboost,137,57,0.2563648148684405,-74.36351850390724,74.36351850390724,0.42159248682679484,-57.84075130542345,57.84075130542345,0.0,1.0,2.9197080291970803
test,rainfall_runoff,xlstm,130,55,0.2951370407071183,-70.48629582139021,70.48629582139021,0.18284726510192517,-81.71527348702374,81.71527348702374,0.5,1.0,2.307692307692308
test,snowmelt,random_forest,218,81,0.649309245501629,-35.06907544108688,35.909047788191984,0.8045843881084023,-19.541561187008824,20.44819248690934,0.0,1.0,27.522935779816514
test,snowmelt,xgboost,218,81,0.5524866200125286,-44.751337991839314,46.87063636822759,0.6963867016989852,-30.36132982867916,31.884292283505836,0.0,1.0,16.972477064220186
test,snowmelt,xlstm,209,80,0.6361544205798823,-36.38455792217503,37.15561878372147,0.32017903164450007,-67.982096824895,67.982096824895,0.0,1.0,34.44976076555024
test,storage_release,random_forest,150,65,0.5427677397472768,-45.723225999673204,45.9543367146317,0.7440074583436025,-25.599254162794196,25.599254162794196,0.0,1.0,12.0
test,storage_release,xgboost,150,65,0.46948091709136686,-53.05190828025717,53.19343120856621,0.6209292912088273,-37.90707086705035,38.06042482479113,0.0,1.0,9.333333333333334
