split,model,metric,n_basins,median,ci_low,ci_high,ci_level,method
spatial_test,random_forest,kge,50,0.46778918227197996,0.3984751654875129,0.5579600560240778,0.95,basin_bootstrap_median
spatial_test,random_forest,nse,50,0.3765432764345077,0.3237268438935538,0.4804831116934113,0.95,basin_bootstrap_median
spatial_test,random_forest,log_nse,50,0.489636457312904,0.39324448971666426,0.5530003049974064,0.95,basin_bootstrap_median
spatial_test,random_forest,pbias,50,3.5101819817658795,-10.40092556202527,10.647298224824603,0.95,basin_bootstrap_median
spatial_test,random_forest,rmse,50,0.8916761538569205,0.6862439905749174,1.128662067315689,0.95,basin_bootstrap_median
spatial_test,random_forest,mae,50,0.5760958128119338,0.38611624186127474,0.7025982495571834,0.95,basin_bootstrap_median
spatial_test,xgboost,kge,50,0.4264011803352672,0.3430131193824545,0.49635035823608264,0.95,basin_bootstrap_median
spatial_test,xgboost,nse,50,0.350843945148302,0.3137627779543652,0.411867786238286,0.95,basin_bootstrap_median
spatial_test,xgboost,log_nse,50,0.43490156335211644,0.3108301598775056,0.5091904860348658,0.95,basin_bootstrap_median
spatial_test,xgboost,pbias,50,-0.09655915935836806,-16.358525199715487,5.171678907616706,0.95,basin_bootstrap_median
spatial_test,xgboost,rmse,50,0.8744733125962972,0.6919420254162783,1.1844499489686948,0.95,basin_bootstrap_median
spatial_test,xgboost,mae,50,0.5787572328583642,0.40213261357403296,0.6756652367709728,0.95,basin_bootstrap_median
spatial_test,xlstm,kge,50,0.5099736069269963,0.4055971959714592,0.6144483543647509,0.95,basin_bootstrap_median
spatial_test,xlstm,nse,50,0.479620298809996,0.3548634452814565,0.545749037368401,0.95,basin_bootstrap_median
spatial_test,xlstm,log_nse,50,0.538552934332994,0.43248017139546124,0.5989286472547793,0.95,basin_bootstrap_median
spatial_test,xlstm,pbias,50,-6.360951377333526,-18.197807575016466,0.9907027666142998,0.95,basin_bootstrap_median
spatial_test,xlstm,rmse,50,0.8024776044512894,0.6398547519165652,1.041010605960526,0.95,basin_bootstrap_median
spatial_test,xlstm,mae,50,0.5205384299758552,0.3957416395372384,0.6484861305800775,0.95,basin_bootstrap_median
