split,ID,kge_cosero,kge_rf,kge_xgb,kge_xlstm,kge_transformer,nse_cosero,nse_rf,nse_xgb,nse_xlstm,nse_transformer,pbias_cosero,pbias_rf,pbias_xgb,pbias_xlstm,pbias_transformer,best_tree_kge,best_sequence_kge,memory_gain_xlstm_vs_rf,transformer_gain_vs_rf,sequence_gain_vs_tree,tree_advantage,xlstm_minus_transformer,xgboost_gain_vs_cosero,xlstm_gain_vs_cosero,transformer_gain_vs_cosero,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
spatial_test,50,,0.4273543556839225,0.4387030778327794,0.4153024051942466,,,0.5848067607126064,0.5654779830790018,0.5639851505193412,,,-23.41201272846731,-21.510239088565847,-35.45034189719882,,0.4387030778327794,0.4153024051942466,-0.012051950489675889,,-0.023400672638532793,0.023400672638532793,,,,,s,E,4356900,2664090,385.249,4.25,1.94,0.46,0.6,0.5,0.143,0.015,0.57,0.55,0.036,0.08,-12.8,0.017,0.703,0.748,2.759,252.111,1.194,9.056,0,1,0.703,2.759,0.46,impact_s,snow_influenced,humid,mixed_storage,mixed_perm,medium
spatial_test,75,,0.8177599657497047,0.7071246315783823,0.800521418233754,,,0.6569984903411403,0.6695622646194543,0.7518408397844359,,,8.399685477118805,1.8245936838005736,5.176586371647625,,0.8177599657497047,0.800521418233754,-0.017238547515950664,,-0.017238547515950664,0.017238547515950664,,,,,l,-,4441387,2688232,74.252,4.49,2.07,0.46,0.62,0.34,0.364,0.023,0.71,0.55,0.048,0.09,-12.6,0.019,0.785,0.856,1.809,244.361,0.028,0.0,0,0,0.785,1.809,0.46,near_natural,snow_influenced,humid,high_storage,mixed_perm,small
spatial_test,89,,0.4759824770915142,0.4900932708921945,0.3993734662900393,,,0.2927550932937767,0.3894487531671672,0.1942266949185976,,,46.18835492621539,38.26609707748503,55.40436062910854,,0.4900932708921945,0.3993734662900393,-0.07660901080147492,,-0.09071980460215523,0.09071980460215523,,,,,u,-,4457180,2710368,14.913,5.04,2.24,0.44,0.64,0.24,0.483,0.0,0.29,0.36,0.107,0.06,-11.8,0.06,0.581,0.536,3.205,236.944,2.722,56.194,0,0,0.581,3.205,0.44,near_natural,snow_influenced,humid,low_storage,high_perm,small
spatial_test,91,,0.5235106669123617,0.4462159931760561,0.6417768435454694,,,0.4628739702108573,0.4025661342619405,0.5063621049196695,,,8.04067952149597,3.5197188002609385,12.720842403451474,,0.5235106669123617,0.6417768435454694,0.11826617663310768,,0.11826617663310768,-0.11826617663310768,,,,,u,-,4461724,2706341,272.137,5.14,2.33,0.45,0.66,0.24,0.784,0.003,0.59,0.45,0.081,0.07,-11.8,0.071,0.618,0.565,1.976,214.694,2.056,0.722,0,0,0.618,1.976,0.45,near_natural,snow_influenced,humid,low_storage,high_perm,medium
spatial_test,93,,0.5775627036788591,0.3826899844747027,0.6450776580952415,,,0.579628815654647,0.4035120447909269,0.6343835156977704,,,-18.114370991576113,-26.569154721297956,-20.314431094540012,,0.5775627036788591,0.6450776580952415,0.06751495441638244,,0.06751495441638244,-0.06751495441638244,,,,,l,-,4485239,2704696,82.052,4.73,2.21,0.47,0.66,0.3,0.469,0.0,0.72,0.65,0.078,0.1,-13.3,0.021,0.673,0.65,2.18,231.296,0.593,1.222,0,0,0.673,2.18,0.47,near_natural,snow_influenced,humid,mixed_storage,low_perm,small
spatial_test,106,,0.736591613072493,0.6091075738854252,0.8123969919619329,,,0.7085139369352431,0.6207537224907971,0.7599480586306048,,,3.698004646237485,5.7020076676267175,-2.1815485551158305,,0.736591613072493,0.8123969919619329,0.07580537888943994,,0.07580537888943994,-0.07580537888943994,,,,,l,-,4503123,2714670,333.317,4.85,2.23,0.46,0.66,0.29,0.404,0.05,0.73,0.65,0.056,0.1,-12.4,0.036,0.671,0.655,2.242,226.583,0.639,1.806,0,0,0.671,2.242,0.46,near_natural,snow_influenced,humid,mixed_storage,mixed_perm,medium
spatial_test,133,,0.3814376846899249,0.4276030096846832,0.6369827575929852,,,0.3049830190361862,0.2817328086294201,0.4728155102779932,,,27.974951213160285,27.315709819208553,19.940357314458836,,0.4276030096846832,0.6369827575929852,0.2555450729030603,,0.209379747908302,-0.209379747908302,,,,,m,G,4560433,2724057,395.356,5.38,2.11,0.39,0.54,0.3,0.601,0.014,0.78,0.51,0.036,0.08,-11.8,0.073,0.625,0.571,2.418,225.167,1.64,11.145,0,1,0.625,2.418,0.39,impact_m,snow_influenced,humid,low_storage,high_perm,medium
spatial_test,147,,0.4422449244313253,0.544397880716281,0.7122936928793225,,,0.1109950079855527,0.3007659467682517,0.545749037368401,,,39.98335229026638,31.71175074457703,22.138828632543063,,0.544397880716281,0.7122936928793225,0.27004876844799725,,0.1678958121630415,-0.1678958121630415,,,,,s,A,4543821,2748698,1145.452,5.29,2.19,0.41,0.6,0.27,0.584,0.036,1.45,0.59,0.044,0.09,-11.9,0.06,0.709,0.694,1.819,222.667,0.584,0.083,0,1,0.709,1.819,0.41,impact_s,snow_influenced,humid,mixed_storage,high_perm,large
spatial_test,183,,0.4326557580378851,0.3535935577099489,0.8498085407449631,,,0.5359858476558268,0.4506775773113286,0.7479559698625216,,,-19.36478150673383,-23.191107487340854,-5.353336381127401,,0.4326557580378851,0.8498085407449631,0.41715278270707806,,0.41715278270707806,-0.41715278270707806,,,,,l,-,4603750,2850320,123.278,2.82,2.09,0.74,0.66,0.14,0.411,0.018,1.11,1.18,0.479,0.14,-14.1,0.01,0.665,0.667,1.562,173.417,2.889,1.417,0,0,0.665,1.562,0.74,near_natural,mixed_snow,moderate_aridity,mixed_storage,low_perm,medium
spatial_test,185,,0.6595649861093615,0.5177542640289765,0.6046398947407299,,,0.5610339705198374,0.5334341372433979,0.2729369419233168,,,2.4561980240105035,-1.0993539047624885,3.7714900935289646,,0.6595649861093615,0.6046398947407299,-0.05492509136863166,,-0.05492509136863166,0.05492509136863166,,,,,l,-,4619789,2837010,138.094,2.61,2.15,0.82,0.75,0.12,0.483,0.024,1.03,0.91,0.674,0.12,-14.1,0.01,0.693,0.705,1.637,176.75,1.472,2.611,0,0,0.693,1.637,0.82,near_natural,mixed_snow,dry,mixed_storage,low_perm,medium
