split,attribute,target,spearman_rho,n
val,bfi,kge_xgb,0.6386166841324867,100
test,bfi,kge_xgb,0.519637789024427,100
val,bfi,pbias_xgb,0.5071200114889747,100
test,area_calc,kge_rf,0.5054905490549054,100
val,frac_snow,kge_rf,0.49622879392532704,100
val,bfi,pbias_rf,0.4873352020285787,100
test,area_calc,kge_xgb,0.4779357935793579,100
test,frac_snow,kge_rf,0.47018358644205005,100
test,frac_snow,kge_xgb,0.4529883421935752,100
test,frac_snow,kge_xlstm,0.44944355040231027,100
train,frac_snow,pbias_xlstm,0.44508766218423046,100
val,bfi,sequence_gain_vs_tree,-0.4350257740436614,100
val,bfi,tree_advantage,0.4350257740436614,100
spatial_test,soil_tawc,sequence_gain_vs_tree,-0.4321656532729031,50
spatial_test,soil_tawc,tree_advantage,0.4321656532729031,50
val,bfi,kge_rf,0.4314972729933996,100
train,area_calc,kge_xlstm,0.43006300630063,100
train,aridity,pbias_xlstm,-0.42523562000700343,100
spatial_test,bfi,kge_xgb,0.42370589710037576,49
spatial_test,soil_tawc,memory_gain_xlstm_vs_rf,-0.4184699220437619,50
val,geol_poros,kge_rf,-0.4044404713857065,100
test,area_calc,kge_xlstm,0.3962916291629162,100
spatial_test,forest_fra,memory_gain_xlstm_vs_rf,0.3958603485579144,50
spatial_test,geol_poros,kge_xgb,-0.3923492274436691,50
val,area_calc,kge_rf,0.39215121512151213,100
val,area_calc,kge_xgb,0.39063906390639064,100
test,aridity,kge_xgb,-0.3882713998688823,100
train,geol_poros,pbias_xlstm,-0.3846839778406659,100
spatial_test,geol_poros,kge_xlstm,-0.38465987462752665,50
val,bfi,memory_gain_xlstm_vs_rf,-0.3823983008960505,100
test,aridity,kge_rf,-0.38094099337405596,100
val,aridity,kge_rf,-0.3780232394375403,100
test,geol_poros,kge_xlstm,-0.3744122831121709,100
spatial_test,forest_fra,sequence_gain_vs_tree,0.37002353337847027,50
spatial_test,forest_fra,tree_advantage,-0.37002353337847027,50
train,bfi,pbias_xlstm,0.36942445859899975,100
train,bfi,kge_xlstm,0.3686503486747076,100
spatial_test,area_calc,kge_xgb,0.3682593037214886,50
test,area_calc,pbias_xgb,0.36636063606360636,100
val,frac_snow,kge_xlstm,0.36569634230325665,100
spatial_test,bfi,kge_rf,0.3626808184717571,49
spatial_test,geol_poros,kge_rf,-0.3572665552200191,50
val,frac_snow,kge_xgb,0.3556808034625133,100
val,geol_poros,kge_xlstm,-0.35422329715750944,100
test,geol_poros,pbias_xlstm,-0.35267953952872394,100
spatial_test,soil_condu,pbias_rf,0.35241571780632164,50
train,frac_snow,kge_xlstm,0.3499130066496076,100
test,area_calc,pbias_rf,0.348094809480948,100
val,soil_condu,kge_rf,-0.34508149621297474,100
val,fdc_slope,pbias_xgb,-0.3448375182659333,100
test,soil_condu,kge_rf,-0.34422933941311656,100
val,fdc_slope,pbias_rf,-0.3427132994713879,100
test,bfi,kge_rf,0.3414124808734526,100
test,geol_poros,kge_rf,-0.3407739845861059,100
test,aridity,kge_xlstm,-0.33991833360407353,100
test,geol_poros,kge_xgb,-0.3398549382156617,100
spatial_test,aridity,kge_xlstm,-0.3372886556607977,50
val,aridity,kge_xlstm,-0.33637620433957927,100
train,area_calc,pbias_xlstm,0.3329612961296129,100
spatial_test,area_calc,kge_rf,0.3264825930372149,50
spatial_test,soil_condu,pbias_xgb,0.3236960940330618,50
test,soil_condu,kge_xgb,-0.32366355523625867,100
test,soil_condu,kge_xlstm,-0.31822655480899475,100
val,bfi,pbias_xlstm,0.3125903881108556,100
spatial_test,fdc_slope,kge_rf,-0.3080690834952308,49
train,geol_poros,kge_xlstm,-0.30747206904530155,100
val,frac_snow,memory_gain_xlstm_vs_rf,-0.3067266280129768,100
spatial_test,frac_snow,kge_xlstm,0.3025993620833066,50
train,soil_condu,pbias_xlstm,-0.300961377955531,100
spatial_test,area_calc,pbias_xgb,0.29594237695078035,50
train,soil_tawc,pbias_xlstm,-0.29421179628610855,100
val,geol_poros,kge_xgb,-0.2928694433815759,100
spatial_test,urban_fra,kge_xlstm,-0.28671615586797017,50
val,is_impacted,sequence_gain_vs_tree,-0.28568488565739986,100
val,is_impacted,tree_advantage,0.28568488565739986,100
val,is_impacted,memory_gain_xlstm_vs_rf,-0.2849914757407556,100
val,fdc_slope,sequence_gain_vs_tree,0.28244909225777365,100
val,fdc_slope,tree_advantage,-0.28244909225777365,100
spatial_test,fdc_slope,kge_xgb,-0.2816908595523633,49
val,aridity,kge_xgb,-0.2793659340079894,100
spatial_test,is_impacted,tree_advantage,0.26908341723542817,50
spatial_test,is_impacted,sequence_gain_vs_tree,-0.26908341723542817,50
spatial_test,aridity,tree_advantage,0.26662185428249924,50
spatial_test,aridity,sequence_gain_vs_tree,-0.26662185428249924,50
spatial_test,is_impacted,kge_xgb,0.2663093613876402,50
spatial_test,aridity,memory_gain_xlstm_vs_rf,-0.26474829530646005,50
test,fdc_slope,kge_xlstm,0.2623710242166751,100
val,area_calc,kge_xlstm,0.26069006900690067,100
val,frac_snow,sequence_gain_vs_tree,-0.2592324261317071,100
val,frac_snow,tree_advantage,0.2592324261317071,100
spatial_test,urban_fra,sequence_gain_vs_tree,-0.2554939241182331,50
spatial_test,urban_fra,tree_advantage,0.2554939241182331,50
spatial_test,soil_condu,sequence_gain_vs_tree,-0.2538661057950689,50
spatial_test,soil_condu,tree_advantage,0.2538661057950689,50
val,area_calc,pbias_xgb,0.25219321932193217,100
train,aridity,kge_xlstm,-0.25189341957692846,100
val,fdc_slope,kge_xlstm,0.2503997911796184,100
val,urban_fra,pbias_xlstm,-0.24928259836943614,100
val,area_calc,pbias_rf,0.24782478247824777,100
val,fdc_slope,memory_gain_xlstm_vs_rf,0.24612135050020914,100
val,soil_condu,kge_xgb,-0.2442929507649649,100
spatial_test,fdc_slope,kge_xlstm,-0.24092451345884067,49
test,aridity,pbias_xgb,0.240450540969935,100
spatial_test,area_calc,pbias_xlstm,0.2401440576230492,50
spatial_test,soil_condu,memory_gain_xlstm_vs_rf,-0.23945826778172793,50
test,forest_fra,kge_rf,-0.2380300875889009,100
