split,model,signature,n_basins,median_abs_error,ci_low,ci_high,ci_level,method
spatial_test,random_forest,q_mean,50,0.25511806864817776,0.1554431536343111,0.4437818264159698,0.95,basin_bootstrap_median
spatial_test,random_forest,runoff_ratio,50,0.07288397191474161,0.051333811064531845,0.1149794426068629,0.95,basin_bootstrap_median
spatial_test,random_forest,fdc_slope,50,0.46258270428646453,0.30096750982882853,0.6256069157297747,0.95,basin_bootstrap_median
spatial_test,random_forest,baseflow_index,50,0.08250253971922375,0.055419760630296355,0.1348836424891685,0.95,basin_bootstrap_median
spatial_test,random_forest,hfd_mean,50,5.5,3.5,7.256249999999966,0.95,basin_bootstrap_median
spatial_test,random_forest,q05,50,0.21470739165657984,0.1270126858478101,0.2855720868452375,0.95,basin_bootstrap_median
spatial_test,random_forest,q95,50,0.6287483465432517,0.3039831219589737,0.8500016236114378,0.95,basin_bootstrap_median
spatial_test,random_forest,high_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,random_forest,high_q_dur,50,0.720779220779221,0.6251920122887866,0.8811651583710396,0.95,basin_bootstrap_median
spatial_test,random_forest,low_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,random_forest,low_q_dur,50,2.1344696969696972,1.5811965811965818,2.7125000000000004,0.95,basin_bootstrap_median
spatial_test,random_forest,zero_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,xgboost,q_mean,50,0.20590441897950768,0.0986476879052673,0.46660280311296964,0.95,basin_bootstrap_median
spatial_test,xgboost,runoff_ratio,50,0.07383384505992605,0.0377444486028875,0.1319599168865414,0.95,basin_bootstrap_median
spatial_test,xgboost,fdc_slope,50,0.5153766727888213,0.3057309684563115,0.7161281293408441,0.95,basin_bootstrap_median
spatial_test,xgboost,baseflow_index,50,0.0935585725399453,0.0681431335065064,0.1427101397091379,0.95,basin_bootstrap_median
spatial_test,xgboost,hfd_mean,50,6.875,6.0,8.0,0.95,basin_bootstrap_median
spatial_test,xgboost,q05,50,0.20646102915524528,0.13529138573398997,0.28425882790660434,0.95,basin_bootstrap_median
spatial_test,xgboost,q95,50,0.688669641743888,0.4227509057893674,1.165720541330689,0.95,basin_bootstrap_median
spatial_test,xgboost,high_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,xgboost,high_q_dur,50,0.841488903253609,0.6775960061443933,1.0833333333333337,0.95,basin_bootstrap_median
spatial_test,xgboost,low_q_freq,50,0.0,0.0,0.000684462696783,0.95,basin_bootstrap_median
spatial_test,xgboost,low_q_dur,50,1.8924242424242426,1.474747474747474,2.575649024178431,0.95,basin_bootstrap_median
spatial_test,xgboost,zero_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,xlstm,q_mean,50,0.27567986513635323,0.17680502701719972,0.39658154680362523,0.95,basin_bootstrap_median
spatial_test,xlstm,runoff_ratio,50,0.08905105530022539,0.05809430462503244,0.1267562051900714,0.95,basin_bootstrap_median
spatial_test,xlstm,fdc_slope,50,0.3233200082317772,0.2358044644540867,0.41955960081338506,0.95,basin_bootstrap_median
spatial_test,xlstm,baseflow_index,50,0.07853973251936225,0.05355979470579015,0.10113277017912045,0.95,basin_bootstrap_median
spatial_test,xlstm,hfd_mean,50,7.0,4.625,9.0,0.95,basin_bootstrap_median
spatial_test,xlstm,q05,50,0.15625527222874305,0.1186603966802023,0.2495034716584743,0.95,basin_bootstrap_median
spatial_test,xlstm,q95,50,0.6829992933178269,0.3680936808368948,1.032517822413328,0.95,basin_bootstrap_median
spatial_test,xlstm,high_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,xlstm,high_q_dur,50,0.7254947794919744,0.5079365079365081,1.128214344639027,0.95,basin_bootstrap_median
spatial_test,xlstm,low_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
spatial_test,xlstm,low_q_dur,50,1.9833333333333334,1.535227272727273,2.6055555555555556,0.95,basin_bootstrap_median
spatial_test,xlstm,zero_q_freq,50,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,random_forest,q_mean,100,0.09730384583269319,0.08475983286731664,0.1072806416981323,0.95,basin_bootstrap_median
test,random_forest,runoff_ratio,100,0.03061752066203955,0.0269683281507288,0.03794231625983385,0.95,basin_bootstrap_median
test,random_forest,fdc_slope,100,0.2778975508526307,0.23125206427846065,0.32565427200740577,0.95,basin_bootstrap_median
test,random_forest,baseflow_index,100,0.07016563654950415,0.05755757606429765,0.0882813662875442,0.95,basin_bootstrap_median
test,random_forest,hfd_mean,100,6.5,5.125,8.128124999999983,0.95,basin_bootstrap_median
test,random_forest,q05,100,0.11928775678462825,0.09086046487927786,0.1594761493039678,0.95,basin_bootstrap_median
test,random_forest,q95,100,0.3024328408260062,0.1901216068588853,0.47457685413460354,0.95,basin_bootstrap_median
test,random_forest,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,random_forest,high_q_dur,100,0.8281137992831545,0.7400000000000002,1.0331871345029238,0.95,basin_bootstrap_median
